date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2023-01-02,21.95,23.10,21.93,23.14,,,21.35,23.50,false,2023/01/2023-01-02-14:15.pdf
2023-01-03,21.96,23.11,21.95,23.16,,,21.35,23.50,false,2023/01/2023-01-03-14:15.pdf
2023-01-04,21.98,23.12,21.96,23.17,,,21.35,23.50,false,2023/01/2023-01-04-14:15.pdf
2023-01-05,21.98,23.12,21.96,23.17,,,21.35,23.50,false,2023/01/2023-01-05-14:15.pdf
2023-01-06,21.92,23.06,21.91,23.11,,,21.30,23.45,false,2023/01/2023-01-06-14:15.pdf
2023-01-07,21.86,23.00,21.84,23.04,,,21.25,23.40,false,2023/01/2023-01-07-14:15.pdf
2023-01-09,21.86,23.00,21.84,23.04,,,21.25,23.40,false,2023/01/2023-01-09-14:15.pdf
2023-01-10,21.78,22.91,21.76,22.96,,,21.15,23.30,false,2023/01/2023-01-10-14:15.pdf
2023-01-11,21.68,22.82,21.67,22.86,,,21.05,23.20,false,2023/01/2023-01-11-14:15.pdf
2023-01-16,21.68,22.81,21.67,22.86,,,21.05,23.20,false,2023/01/2023-01-16-14:15.pdf
2023-01-17,21.72,22.85,21.70,22.89,,,21.10,23.25,false,2023/01/2023-01-17-19:15.pdf
2023-01-18,21.71,22.84,21.69,22.89,,,21.10,23.20,false,2023/01/2023-01-18-14:15.pdf
2023-01-19,21.61,22.74,21.59,22.78,,,21.00,23.10,false,2023/01/2023-01-19-14:15.pdf
2023-01-20,21.56,22.69,21.55,22.73,,,20.95,23.05,false,2023/01/2023-01-20-14:15.pdf
2023-01-23,21.62,22.74,21.60,22.79,,,21.00,23.10,false,2023/01/2023-01-23-14:15.pdf
2023-01-24,21.65,22.79,21.64,22.83,,,21.05,23.15,false,2023/01/2023-01-24-14:15.pdf
2023-01-25,21.67,22.80,21.65,22.84,,,21.05,23.20,false,2023/01/2023-01-26-14:15.pdf
2023-01-27,21.64,22.77,21.63,22.82,,,21.00,23.15,false,2023/01/2023-01-27-14:15.pdf
2023-01-30,21.68,22.81,21.67,22.86,,,21.05,23.20,false,2023/01/2023-01-30-14:15.pdf
2023-01-31,21.67,22.80,21.65,22.84,,,21.05,23.20,false,2023/01/2023-01-31-14:15.pdf
2023-02-01,21.72,22.85,21.70,22.89,,,21.10,23.25,false,2023/02/2023-02-01-14:15.pdf
2023-02-02,21.78,22.91,21.76,22.96,,,21.15,23.30,false,2023/02/2023-02-02-14:15.pdf
2023-02-03,21.72,22.86,21.71,22.90,,,21.10,23.25,false,2023/02/2023-02-03-14:15.pdf
2023-02-04,21.83,22.97,21.81,23.02,,,21.20,23.35,false,2023/02/2023-02-04-14:15.pdf
2023-02-06,21.95,23.09,21.93,23.14,,,21.35,23.50,false,2023/02/2023-02-06-14:15.pdf
2023-02-07,21.95,23.09,21.93,23.14,,,21.35,23.50,false,2023/02/2023-02-07-14:15.pdf
2023-02-09,21.93,23.07,21.91,23.12,,,21.30,23.45,false,2023/02/2023-02-09-14:15.pdf
2023-02-13,21.96,23.11,21.95,23.16,,,21.35,23.50,false,2023/02/2023-02-13-14:15.pdf
2023-02-15,22.02,23.16,22.00,23.21,,,21.40,23.55,false,2023/02/2023-02-15-14:15.pdf
2023-02-20,21.96,23.11,21.95,23.15,,,21.35,23.50,false,2023/02/2023-02-20-14:15.pdf
2023-02-21,21.98,23.12,21.96,23.17,,,21.35,23.50,false,2023/02/2023-02-21-14:15.pdf
2023-02-22,21.99,23.14,21.98,23.19,,,21.35,23.55,false,2023/02/2023-02-22-14:15.pdf
2023-02-23,21.98,23.13,21.97,23.18,,,21.35,23.50,false,2023/02/2023-02-23-14:15.pdf
2023-02-24,21.96,23.10,21.94,23.15,,,21.35,23.50,false,2023/02/2023-02-24-14:15.pdf
2023-02-27,22.01,23.15,21.99,23.20,,,21.40,23.55,false,2023/02/2023-02-27-14:15.pdf
2023-02-28,21.96,23.11,21.95,23.15,,,21.35,23.50,false,2023/02/2023-02-28-14:15.pdf
2023-03-01,21.90,23.05,21.89,23.09,,,21.30,23.45,false,2023/03/2023-03-01-14:15.pdf
2023-03-02,21.93,23.07,21.91,23.12,,,21.30,23.45,false,2023/03/2023-03-02-14:15.pdf
2023-03-03,21.79,22.93,21.78,22.97,,,21.20,23.30,false,2023/03/2023-03-03-14:15.pdf
2023-03-04,21.72,22.86,21.71,22.90,,,21.10,23.25,false,2023/03/2023-03-04-14:15.pdf
2023-03-06,21.72,22.86,21.71,22.90,,,21.10,23.25,false,2023/03/2023-03-06-14:15.pdf
2023-03-08,21.79,22.93,21.78,22.97,,,21.20,23.30,false,2023/03/2023-03-08-14:15.pdf
2023-03-10,21.81,22.95,21.79,23.00,,,21.20,23.35,false,2023/03/2023-03-11-14:15.pdf
2023-03-13,21.82,22.96,21.80,23.00,,,21.20,23.35,false,2023/03/2023-03-13-14:15.pdf
2023-03-14,21.84,22.99,21.83,23.03,,,21.25,23.40,false,2023/03/2023-03-14-14:15.pdf
2023-03-15,21.92,23.06,21.90,23.11,,,21.30,23.45,false,2023/03/2023-03-15-14:15.pdf
2023-03-16,21.98,23.13,21.97,23.17,,,21.35,23.50,false,2023/03/2023-03-16-14:15.pdf
2023-03-17,21.91,23.06,21.90,23.11,,,21.30,23.45,false,2023/03/2023-03-17-14:15.pdf
2023-03-20,21.95,23.10,21.93,23.14,,,21.35,23.50,false,2023/03/2023-03-20-14:15.pdf
2023-03-21,21.92,23.07,21.91,23.12,,,21.30,23.45,false,2023/03/2023-03-21-14:15.pdf
2023-03-23,21.82,22.96,21.80,23.00,,,21.20,23.35,false,2023/03/2023-03-23-14:15.pdf
2023-03-24,21.86,23.00,21.84,23.05,,,21.25,23.40,false,2023/03/2023-03-24-14:15.pdf
2023-03-27,21.87,23.02,21.86,23.06,,,21.25,23.40,false,2023/03/2023-03-27-14:15.pdf
2023-03-28,21.82,22.96,21.80,23.01,,,21.20,23.35,false,2023/03/2023-03-28-14:15.pdf
2023-03-29,21.84,22.98,21.83,23.03,,,21.25,23.40,false,2023/03/2023-03-29-14:15.pdf
2023-03-31,21.81,22.95,21.79,23.00,,,21.20,23.35,false,2023/03/2023-03-31-14:15.pdf
2023-04-03,21.90,23.04,21.88,23.09,,,21.30,23.45,false,2023/04/2023-04-04-14:15.pdf
2023-04-06,21.76,22.90,21.74,22.94,,,21.15,23.30,false,2023/04/2023-04-06-14:15.pdf
2023-04-10,21.74,22.88,21.73,22.92,,,21.10,23.25,false,2023/04/2023-04-10-14:15.pdf
2023-04-11,21.77,22.91,21.75,22.95,,,21.15,23.30,false,2023/04/2023-04-11-14:15.pdf
2023-04-12,21.79,22.93,21.78,22.98,,,21.20,23.30,false,2023/04/2023-04-12-14:15.pdf
2023-04-13,21.78,22.92,21.76,22.96,,,21.15,23.30,false,2023/04/2023-04-13-19:15.pdf
2023-04-15,21.73,22.86,21.71,22.91,,,21.10,23.25,false,2023/04/2023-04-15-14:15.pdf
2023-04-17,21.75,22.89,21.73,22.93,,,21.10,23.25,false,2023/04/2023-04-17-14:15.pdf
2023-04-18,21.78,22.92,21.77,22.97,,,21.20,23.30,false,2023/04/2023-04-18-19:15.pdf
2023-04-19,21.81,22.95,21.79,22.99,,,21.20,23.35,false,2023/04/2023-04-19-14:15.pdf
2023-04-20,21.84,22.98,21.82,23.03,,,21.25,23.35,false,2023/04/2023-04-20-14:15.pdf
2023-04-21,21.81,22.95,21.80,23.00,,,21.20,23.35,false,2023/04/2023-04-21-14:15.pdf
2023-04-24,21.80,22.94,21.78,22.99,,,21.15,23.30,false,2023/04/2023-04-24-14:15.pdf
2023-04-25,21.75,22.89,21.73,22.93,,,21.10,23.25,false,2023/04/2023-04-25-14:15.pdf
2023-04-26,21.70,22.83,21.68,22.88,,,21.05,23.20,false,2023/04/2023-04-26-14:15.pdf
2023-04-28,21.72,22.85,21.70,22.90,,,21.10,23.25,false,2023/04/2023-04-28-14:15.pdf
2023-04-29,21.71,22.85,21.70,22.89,,,21.10,23.25,false,2023/04/2023-04-29-14:15.pdf
2023-05-03,21.72,22.85,21.7,22.9,,,21.1,23.25,false,2023/05/2023-05-03-20:24.pdf
2023-05-04,21.69,22.82,21.67,22.87,,,21.05,23.20,false,2023/05/2023-05-04-14:15.pdf
2023-05-06,21.70,22.83,21.68,22.88,,,21.05,23.20,false,2023/05/2023-05-06-14:15.pdf
2023-05-08,21.71,22.85,21.70,22.89,,,21.10,23.25,false,2023/05/2023-05-08-14:15.pdf
2023-05-09,21.81,22.95,21.79,22.99,,,21.20,23.35,false,2023/05/2023-05-09-14:15.pdf
2023-05-10,21.80,22.94,21.78,22.98,,,21.20,23.35,false,2023/05/2023-05-10-14:15.pdf
2023-05-11,21.77,22.91,21.75,22.95,21.75,22.95,21.15,23.30,false,2023/05/2023-05-11-14:15.pdf
2023-05-12,21.81,22.95,21.79,22.99,21.79,22.99,21.20,23.35,false,2023/05/2023-05-12-14:15.pdf
2023-05-15,21.84,22.98,21.82,23.03,21.82,23.03,21.25,23.35,false,2023/05/2023-05-15-14:15.pdf
2023-05-16,21.84,22.98,21.82,23.03,21.82,23.03,21.25,23.35,false,2023/05/2023-05-16-14:15.pdf
2023-05-17,21.86,23.00,21.84,23.05,21.84,23.05,21.25,23.40,false,2023/05/2023-05-17-14:15.pdf
2023-05-18,21.93,23.07,21.91,23.12,21.91,23.12,21.30,23.45,false,2023/05/2023-05-18-14:15.pdf
2023-05-19,21.97,23.12,21.96,23.17,21.96,23.17,21.35,23.50,false,2023/05/2023-05-19-19:15.pdf
2023-05-20,21.99,23.14,21.98,23.19,21.98,23.19,21.35,23.55,false,2023/05/2023-05-20-14:15.pdf
2023-05-22,21.99,23.14,21.97,23.19,21.97,23.19,21.35,23.55,false,2023/05/2023-05-22-14:15.pdf
