date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2020-06-02,50.79,52.51,50.75,52.62,50.75,52.75,48.80,54.45,false,2020/06/2020-06-02.pdf
2020-06-03,51.28,53.01,51.24,53.11,51.25,53.25,49.25,55.00,false,2020/06/2020-06-03-14:15.pdf
2020-06-04,51.33,53.01,51.29,53.11,51.30,53.30,49.30,55.05,false,2020/06/2020-06-04-14:15.pdf
2020-06-05,51.64,53.32,51.60,53.43,51.60,53.60,49.60,55.35,false,2020/06/2020-06-05-14:15.pdf
2020-06-06,,,51.87,53.71,51.85,53.85,49.85,55.60,false,2020/06/2020-06-06-14:15.pdf
2020-06-08,51.95,53.65,51.91,53.76,51.95,53.90,49.95,55.65,false,2020/06/2020-06-08-14:15.pdf
2020-06-09,52.04,53.74,52.00,53.85,52.00,54.00,50.00,55.75,false,2020/06/2020-06-09-14:15.pdf
2020-06-10,51.86,53.55,51.82,53.66,51.85,53.80,49.85,55.55,false,2020/06/2020-06-10-14:15.pdf
2020-06-11,51.77,53.50,51.72,53.60,51.75,53.75,49.75,55.50,false,2020/06/2020-06-11-14:15.pdf
2020-06-12,51.29,53.02,51.25,53.13,51.30,53.30,49.30,55.05,false,2020/06/2020-06-12-14:15.pdf
2020-06-16,52.00,53.73,51.96,53.83,52.00,54.00,50.00,55.75,false,2020/06/2020-06-16-14:15.pdf
2020-06-17,51.63,53.36,51.59,53.46,51.65,53.65,49.65,55.40,false,2020/06/2020-06-17-14:15.pdf
2020-06-18,51.55,53.24,51.51,53.34,51.55,53.50,49.55,55.25,false,2020/06/2020-06-18-14:15.pdf
2020-06-19,51.54,53.23,51.50,53.33,51.50,53.50,49.50,55.25,false,2020/06/2020-06-19-14:15.pdf
2020-06-20,,,51.27,53.14,51.30,53.30,49.30,55.05,false,2020/06/2020-06-20-14:15.pdf
2020-06-22,51.51,53.20,51.47,53.31,51.50,53.45,49.50,55.20,false,2020/06/2020-06-22-14:15.pdf
2020-06-23,51.65,53.38,51.60,53.48,51.60,53.65,49.60,55.40,false,2020/06/2020-06-23-14:15.pdf
2020-06-24,51.73,53.46,51.69,53.57,51.70,53.75,49.70,55.50,false,2020/06/2020-06-24-14:15.pdf
2020-06-25,51.22,52.91,51.18,53.01,51.20,53.15,49.25,54.90,false,2020/06/2020-06-25-14:15.pdf
2020-06-26,51.24,52.97,51.20,53.07,51.25,53.25,49.25,55.00,false,2020/06/2020-06-26-14:15.pdf
2020-06-27,51.24,52.97,51.20,53.07,51.25,53.25,49.25,55.00,false,2020/06/2020-06-27-14:15.pdf
2020-06-28,51.24,52.97,51.20,53.07,51.25,53.25,49.25,55.00,false,2020/06/2020-06-28-14:15.pdf
2020-06-29,51.22,52.91,51.18,53.02,51.20,53.20,49.25,54.95,false,2020/06/2020-06-29-14:15.pdf
2020-06-30,51.20,52.89,51.16,53.00,51.20,53.15,49.25,54.90,false,2020/06/2020-06-30-14:15.pdf
2020-07-01,51.34,53.03,51.30,53.14,51.30,53.30,49.30,55.05,false,2020/07/2020-07-01-14:15.pdf
2020-07-02,51.44,53.17,51.40,53.27,51.45,53.45,49.45,55.20,false,2020/07/2020-07-02-14:15.pdf
2020-07-03,51.22,52.90,51.18,53.01,51.20,53.15,49.25,54.90,false,2020/07/2020-07-03-14:15.pdf
2020-07-04,,,51.00,52.91,51.05,53.05,49.10,54.75,false,2020/07/2020-07-04-14:15.pdf
2020-07-05,,,51.00,52.91,51.05,53.05,49.10,54.75,false,2020/07/2020-07-05-14:15.pdf
2020-07-06,,,51.00,52.91,51.05,53.05,49.10,54.75,false,2020/07/2020-07-06-14:15.pdf
2020-07-07,,,51.00,52.91,51.05,53.05,49.10,54.75,false,2020/07/2020-07-07-14:15.pdf
2020-07-08,51.29,52.97,51.25,53.08,51.25,53.25,49.25,55.00,false,2020/07/2020-07-08-14:15.pdf
2020-07-09,51.59,53.31,51.55,53.42,51.55,53.60,49.55,55.35,false,2020/07/2020-07-09-14:15.pdf
2020-07-10,51.41,53.09,51.37,53.20,51.35,53.35,49.35,55.10,false,2020/07/2020-07-10-14:15.pdf
2020-07-11,51.41,53.09,51.37,53.20,51.35,53.35,49.35,55.10,false,2020/07/2020-07-11-14:15.pdf
2020-07-12,51.41,53.09,51.37,53.20,51.35,53.35,49.35,55.10,false,2020/07/2020-07-12-14:15.pdf
2020-07-13,51.65,53.37,51.61,53.48,51.60,53.65,49.60,55.40,false,2020/07/2020-07-13-14:15.pdf
2020-07-14,51.47,53.16,51.43,53.26,51.45,53.40,49.45,55.15,false,2020/07/2020-07-14-14:15.pdf
2020-07-15,51.90,53.63,51.86,53.73,51.90,53.90,49.90,55.65,false,2020/07/2020-07-15-14:15.pdf
2020-07-16,51.80,53.48,51.76,53.59,51.75,53.75,49.75,55.50,false,2020/07/2020-07-16-14:15.pdf
2020-07-17,51.78,53.47,51.74,53.57,51.75,53.75,49.75,55.50,false,2020/07/2020-07-17-14:15.pdf
2020-07-18,,,51.66,53.52,51.65,53.70,49.65,55.45,false,2020/07/2020-07-18-14:15.pdf
2020-07-21,51.71,53.40,51.67,53.51,51.70,53.65,49.70,55.40,false,2020/07/2020-07-21-14:15.pdf
2020-07-22,52.50,54.19,52.45,54.29,52.45,54.45,50.45,56.20,false,2020/07/2020-07-22-14:15.pdf
2020-07-23,52.57,54.27,52.53,54.38,52.55,54.55,50.50,56.30,false,2020/07/2020-07-23-14:15.pdf
2020-07-24,52.39,54.09,52.35,54.19,52.35,54.35,50.35,56.10,false,2020/07/2020-07-24-14:15.pdf
2020-07-25,52.39,54.09,52.35,54.19,52.35,54.35,50.35,56.10,false,2020/07/2020-07-25-14:15.pdf
2020-07-26,52.39,54.09,52.35,54.19,52.35,54.35,50.35,56.10,false,2020/07/2020-07-26-14:15.pdf
