date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-01-01,219.9,234.74,219.72,235.21,,,213.9,238.25,false,2025/01/2025-01-02-00:08.pdf
2025-01-02,220.2,235.11,220.06,235.57,,,214.2,238.65,false,2025/01/2025-01-03-00:08.pdf
2025-01-04,220.4,235.28,220.22,235.75,,,214.4,238.8,false,2025/01/2025-01-04-12:03.pdf
2025-01-06,215.2,241.83,214.97,242.31,,,209.3,245.45,false,2025/01/2025-01-07-00:09.pdf
2025-01-07,220.4,235.26,220.22,235.72,,,214.4,238.8,false,2025/01/2025-01-08-00:08.pdf
2025-01-08,220.4,235.28,220.23,235.74,,,214.4,238.8,false,2025/01/2025-01-09-00:08.pdf
2025-01-09,220.7,235.62,220.54,236.08,,,214.7,239.15,false,2025/01/2025-01-10-00:08.pdf
2025-01-10,220.7,235.55,220.47,236.02,,,214.6,239.1,false,2025/01/2025-01-11-12:03.pdf
2025-01-14,222.7,237.7,222.49,238.17,,,216.6,241.25,false,2025/01/2025-01-14-12:03.pdf
2025-01-15,221.8,236.79,221.64,237.26,,,215.7,240.35,false,2025/01/2025-01-16-00:08.pdf
2025-01-16,222,236.99,221.82,237.45,,,215.9,240.55,false,2025/01/2025-01-17-00:08.pdf
2025-01-17,222.5,237.5,222.31,237.96,,,216.4,241.05,false,2025/01/2025-01-18-00:07.pdf
2025-01-18,223.3,238.32,223.07,238.79,,,217.1,241.9,false,2025/01/2025-01-19-00:08.pdf
2025-01-21,222.3,237.23,222.09,237.7,,,216.2,240.8,false,2025/01/2025-01-21-12:03.pdf
2025-01-22,222,236.97,221.85,237.43,,,215.9,240.5,false,2025/01/2025-01-23-00:08.pdf
2025-01-23,222.1,237.09,221.96,237.55,,,216.1,240.65,false,2025/01/2025-01-24-00:08.pdf
2025-01-24,221.6,236.45,221.38,236.91,,,215.5,240,false,2025/01/2025-01-25-00:07.pdf
2025-01-27,216,242.42,215.77,242.89,,,210,246.05,false,2025/01/2025-01-27-12:03.pdf
2025-01-28,222.3,237.22,222.09,237.68,,,216.2,240.8,false,2025/01/2025-01-29-00:08.pdf
2025-01-29,222.5,237.46,222.32,237.92,,,216.4,241,false,2025/01/2025-01-30-00:08.pdf
2025-01-30,222.3,237.3,222.16,237.76,,,216.3,240.85,false,2025/01/2025-01-31-00:08.pdf
2025-01-31,222.5,237.47,222.31,237.93,,,216.4,241.05,false,2025/02/2025-02-01-00:08.pdf
2025-02-01,222.5,237.45,222.28,237.91,,,216.4,241,false,2025/02/2025-02-02-00:08.pdf
2025-02-03,215.5,242.1,215.36,242.57,,,209.6,245.75,false,2025/02/2025-02-04-00:08.pdf
2025-02-04,223.5,238.59,223.35,239.05,,,217.4,242.15,false,2025/02/2025-02-05-00:08.pdf
2025-02-05,224.6,239.74,224.46,240.2,,,218.5,243.35,false,2025/02/2025-02-06-00:08.pdf
2025-02-06,224.9,239.99,224.69,240.45,,,218.7,243.6,false,2025/02/2025-02-07-00:08.pdf
2025-02-07,224.8,239.87,224.58,240.34,,,218.6,243.45,false,2025/02/2025-02-08-00:08.pdf
2025-02-10,217.8,244.59,217.59,245.06,,,211.8,248.25,false,2025/02/2025-02-11-00:08.pdf
2025-02-11,222.9,237.93,222.72,238.4,,,216.8,241.5,false,2025/02/2025-02-12-00:08.pdf
2025-02-12,222.8,237.77,222.59,238.23,,,216.7,241.35,false,2025/02/2025-02-13-00:08.pdf
2025-02-13,223,238.02,222.84,238.49,,,216.9,241.6,false,2025/02/2025-02-14-00:08.pdf
2025-02-15,223,237.93,222.78,238.39,,,216.9,241.5,false,2025/02/2025-02-15-12:02.pdf
2025-02-17,218.1,244.83,217.9,245.31,,,212.1,248.5,false,2025/02/2025-02-18-00:08.pdf
2025-02-18,223.4,238.35,223.17,238.81,,,217.2,241.95,false,2025/02/2025-02-19-00:08.pdf
2025-02-20,222.7,237.66,222.51,238.13,,,216.6,241.2,false,2025/02/2025-02-21-00:08.pdf
2025-02-21,222.8,237.78,222.64,238.25,,,216.7,241.35,false,2025/02/2025-02-22-00:08.pdf
2025-02-24,218,244.77,217.85,245.25,,,212.1,248.45,false,2025/02/2025-02-25-00:08.pdf
2025-02-25,223.8,238.86,223.66,239.33,,,217.7,242.45,false,2025/02/2025-02-26-00:08.pdf
2025-02-27,224.3,239.3,224.08,239.77,,,218.1,242.9,false,2025/02/2025-02-27-12:03.pdf
2025-02-28,224.5,239.56,224.29,240.02,,,218.3,243.15,false,2025/03/2025-03-01-00:09.pdf
2025-03-01,224.9,239.97,224.68,240.44,,,218.7,243.55,false,2025/03/2025-03-02-00:09.pdf
2025-03-03,219.4,246.38,219.19,246.85,,,213.4,250.1,false,2025/03/2025-03-04-00:08.pdf
2025-03-04,224.5,239.54,224.31,240,,,218.3,243.15,false,2025/03/2025-03-05-00:08.pdf
2025-03-05,223.7,238.66,223.54,239.12,,,217.6,242.25,false,2025/03/2025-03-06-00:08.pdf
2025-03-06,223.8,238.75,223.66,239.22,,,217.7,242.35,false,2025/03/2025-03-07-00:08.pdf
