date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-01-01,58.79,60.23,58.74,60.35,58.74,60.35,56,62.65,false,2025/01/2025-01-02-00:08.pdf
2025-01-02,58.92,60.35,58.88,60.47,58.88,60.47,56.1,62.75,false,2025/01/2025-01-03-00:08.pdf
2025-01-04,58.64,60.12,58.6,60.24,58.6,60.24,55.85,62.5,false,2025/01/2025-01-04-12:03.pdf
2025-01-06,58.87,60.29,58.82,60.41,58.82,60.41,56.05,62.7,false,2025/01/2025-01-07-00:09.pdf
2025-01-07,59.2,60.63,59.15,60.75,59.15,60.75,56.4,63.05,false,2025/01/2025-01-08-00:08.pdf
2025-01-08,59.1,60.53,59.05,60.65,59.05,60.65,56.3,62.95,false,2025/01/2025-01-09-00:08.pdf
2025-01-09,59.12,60.54,59.07,60.66,59.07,60.66,56.3,62.95,false,2025/01/2025-01-10-00:08.pdf
2025-01-10,58.91,60.34,58.87,60.46,58.87,60.46,56.1,62.75,false,2025/01/2025-01-11-12:03.pdf
2025-01-14,59.61,61.05,59.57,61.17,59.57,61.17,56.8,63.5,false,2025/01/2025-01-14-12:03.pdf
2025-01-15,59.48,60.91,59.43,61.03,59.43,61.03,56.65,63.35,false,2025/01/2025-01-16-00:08.pdf
2025-01-16,59.5,60.94,59.46,61.06,59.46,61.06,56.65,63.4,false,2025/01/2025-01-17-00:08.pdf
2025-01-17,59.46,60.9,59.42,61.02,59.42,61.02,56.65,63.35,false,2025/01/2025-01-18-00:07.pdf
2025-01-18,59.09,60.52,59.04,60.64,59.04,60.64,56.3,62.95,false,2025/01/2025-01-19-00:08.pdf
2025-01-21,59.3,60.74,59.26,60.86,59.26,60.86,56.5,63.15,false,2025/01/2025-01-21-12:03.pdf
2025-01-22,59.59,61.03,59.55,61.15,59.55,61.15,56.75,63.45,false,2025/01/2025-01-23-00:08.pdf
2025-01-23,59.38,60.81,59.33,60.93,59.33,60.93,56.55,63.25,false,2025/01/2025-01-24-00:08.pdf
2025-01-24,59.44,60.88,59.4,61,59.4,61,56.6,63.3,false,2025/01/2025-01-25-00:07.pdf
2025-01-27,59.38,60.81,59.33,60.93,59.33,60.93,56.55,63.25,false,2025/01/2025-01-27-12:03.pdf
2025-01-28,59.4,60.83,59.35,60.95,59.35,60.95,56.6,63.25,false,2025/01/2025-01-29-00:08.pdf
2025-01-29,59.44,60.88,59.39,60.99,59.39,60.99,56.6,63.3,false,2025/01/2025-01-30-00:08.pdf
2025-01-30,59.34,60.77,59.29,60.89,59.29,60.89,56.5,63.2,false,2025/01/2025-01-31-00:08.pdf
2025-01-31,59.12,60.56,59.07,60.67,59.07,60.67,56.3,63,false,2025/02/2025-02-01-00:08.pdf
2025-02-01,58.87,60.29,58.82,60.41,58.82,60.41,56.05,62.7,false,2025/02/2025-02-02-00:08.pdf
2025-02-03,58.33,59.71,58.28,59.83,58.28,59.83,55.55,62.1,false,2025/02/2025-02-04-00:08.pdf
2025-02-04,59.48,60.91,59.43,61.02,59.43,61.02,56.65,63.35,false,2025/02/2025-02-05-00:08.pdf
2025-02-05,60.41,61.87,60.37,61.99,60.37,61.99,57.55,64.35,false,2025/02/2025-02-06-00:08.pdf
2025-02-06,60.35,61.8,60.3,61.92,60.3,61.92,57.5,64.25,false,2025/02/2025-02-07-00:08.pdf
2025-02-07,60.42,61.88,60.38,62,60.38,62,57.55,64.35,false,2025/02/2025-02-08-00:08.pdf
2025-02-10,60.33,61.78,60.28,61.9,60.28,61.9,57.45,64.25,false,2025/02/2025-02-11-00:08.pdf
2025-02-11,59.82,61.27,59.78,61.39,59.78,61.39,57,63.7,false,2025/02/2025-02-12-00:08.pdf
2025-02-12,59.94,61.39,59.89,61.51,59.89,61.51,57.1,63.85,false,2025/02/2025-02-13-00:08.pdf
2025-02-13,60.11,61.57,60.06,61.69,60.06,61.69,57.25,64.05,false,2025/02/2025-02-14-00:08.pdf
2025-02-15,60.39,61.87,60.34,61.99,60.34,61.99,57.5,64.35,false,2025/02/2025-02-15-12:02.pdf
2025-02-17,60.46,61.93,60.41,62.05,60.41,62.05,57.6,64.4,false,2025/02/2025-02-18-00:08.pdf
2025-02-18,60.51,61.97,60.46,62.09,60.46,62.09,57.65,64.45,false,2025/02/2025-02-19-00:08.pdf
2025-02-20,60.24,61.7,60.19,61.82,60.19,61.82,57.4,64.15,false,2025/02/2025-02-21-00:08.pdf
2025-02-21,60.37,61.83,60.32,61.96,60.32,61.96,57.5,64.3,false,2025/02/2025-02-22-00:08.pdf
2025-02-24,60.34,61.8,60.29,61.92,60.29,61.92,57.45,64.25,false,2025/02/2025-02-25-00:08.pdf
2025-02-25,60.37,61.83,60.32,61.95,60.32,61.95,57.5,64.3,false,2025/02/2025-02-26-00:08.pdf
2025-02-27,60.1,61.54,60.05,61.66,60.05,61.66,57.25,64,false,2025/02/2025-02-27-12:03.pdf
2025-02-28,59.78,61.21,59.73,61.33,59.73,61.33,56.95,63.65,false,2025/03/2025-03-01-00:09.pdf
2025-03-01,59.78,61.23,59.73,61.34,59.73,61.34,56.95,63.7,false,2025/03/2025-03-02-00:09.pdf
2025-03-03,59.77,61.2,59.72,61.32,59.72,61.32,56.95,63.65,false,2025/03/2025-03-04-00:08.pdf
2025-03-04,59.88,61.31,59.83,61.43,59.83,61.43,57.05,63.75,false,2025/03/2025-03-05-00:08.pdf
2025-03-05,59.84,61.28,59.79,61.39,59.79,61.39,57,63.75,false,2025/03/2025-03-06-00:08.pdf
2025-03-06,60.06,61.5,60.01,61.62,60.01,61.62,57.2,63.95,false,2025/03/2025-03-07-00:08.pdf
2025-03-07,60.11,61.56,60.06,61.68,60.06,61.68,57.25,64,false,2025/03/2025-03-08-00:06.pdf
2025-03-10,60.04,61.49,60,61.61,60,61.61,57.2,63.95,false,2025/03/2025-03-11-00:08.pdf
2025-03-11,59.86,61.3,59.82,61.42,59.82,61.42,57,63.75,false,2025/03/2025-03-12-00:08.pdf
2025-03-12,59.71,61.14,59.66,61.26,59.66,61.26,56.85,63.6,false,2025/03/2025-03-13-00:08.pdf
2025-03-13,59.9,61.34,59.85,61.46,59.85,61.46,57.05,63.8,false,2025/03/2025-03-14-00:08.pdf
2025-03-15,59.73,61.18,59.68,61.3,59.68,61.3,56.9,63.65,false,2025/03/2025-03-16-00:09.pdf
2025-03-17,59.75,61.19,59.7,61.31,59.7,61.31,56.9,63.65,false,2025/03/2025-03-18-00:08.pdf
2025-03-18,59.84,61.29,59.8,61.41,59.8,61.41,57,63.75,false,2025/03/2025-03-19-00:08.pdf
2025-03-19,59.85,61.29,59.8,61.41,59.8,61.41,57,63.75,false,2025/03/2025-03-20-00:08.pdf
2025-03-20,59.46,60.9,59.42,61.02,59.42,61.02,56.65,63.35,false,2025/03/2025-03-21-00:08.pdf
2025-03-21,59.33,60.76,59.28,60.88,59.28,60.88,56.5,63.2,false,2025/03/2025-03-22-00:08.pdf
2025-03-24,59.02,60.46,58.98,60.58,58.98,60.58,56.2,62.9,false,2025/03/2025-03-25-00:08.pdf
2025-03-25,59.16,60.6,59.12,60.72,59.12,60.72,56.35,63,false,2025/03/2025-03-26-00:08.pdf
2025-03-26,59.35,60.79,59.3,60.91,59.3,60.91,56.55,63.2,false,2025/03/2025-03-27-00:08.pdf
2025-03-27,59.51,60.96,59.47,61.08,59.47,61.08,56.7,63.4,false,2025/03/2025-03-28-00:08.pdf
