date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2024-01-01,97.47,100.30,97.39,100.50,,,92.85,104.30,false,2024/01/2024-01-01-14:15.pdf
2024-01-02,97.26,100.03,97.18,100.23,,,92.65,104.05,false,2024/01/2024-01-02-14:15.pdf
2024-01-03,96.45,99.21,96.38,99.41,,,91.85,102.95,false,2024/01/2024-01-03-14:15.pdf
2024-01-04,96.68,99.42,96.60,99.62,,,92.10,103.40,false,2024/01/2024-01-04-14:15.pdf
2024-01-05,96.56,99.29,96.48,99.49,,,91.95,103.25,false,2024/01/2024-01-05-14:15.pdf
2024-01-06,96.50,99.28,96.42,99.48,,,91.90,103.25,false,2024/01/2024-01-06-14:15.pdf
2024-01-08,96.28,99.04,96.19,99.24,,,91.70,103.00,false,2024/01/2024-01-08-14:15.pdf
2024-01-09,96.75,99.52,96.66,99.72,,,92.15,103.50,false,2024/01/2024-01-09-14:15.pdf
2024-01-10,96.24,98.97,96.16,99.17,,,91.65,102.95,false,2024/01/2024-01-10-14:15.pdf
2024-01-11,96.44,99.26,96.37,99.47,,,91.80,103.00,false,2024/01/2024-01-11-14:15.pdf
2024-01-12,96.22,98.95,96.14,99.15,,,91.65,102.90,false,2024/01/2024-01-12-14:15.pdf
2024-01-15,95.72,98.44,95.64,98.64,,,91.15,102.40,false,2024/01/2024-01-15-14:15.pdf
2024-01-16,95.44,98.14,95.35,98.34,,,90.90,102.05,false,2024/01/2024-01-16-14:15.pdf
2024-01-17,95.10,97.78,95.02,97.98,,,90.60,101.70,false,2024/01/2024-01-17-14:15.pdf
2024-01-18,95.10,97.78,95.02,97.98,,,90.60,101.70,false,2024/01/2024-01-18-14:15.pdf
2024-01-19,94.49,97.14,94.41,97.33,,,90.00,101.05,false,2024/01/2024-01-19-14:15.pdf
2024-01-20,94.38,97.06,94.30,97.26,,,89.90,100.95,false,2024/01/2024-01-20-14:15.pdf
2024-01-23,94.79,97.48,94.71,97.67,,,90.30,101.40,false,2024/01/2024-01-23-14:15.pdf
2024-01-24,94.82,97.47,94.74,97.67,,,90.30,101.35,false,2024/01/2024-01-24-14:15.pdf
2024-01-25,94.88,97.55,94.80,97.75,,,90.35,101.45,false,2024/01/2024-01-25-14:15.pdf
2024-01-29,94.99,97.66,94.91,97.86,,,90.50,101.55,false,2024/01/2024-01-29-14:15.pdf
2024-01-30,95.17,97.85,95.09,98.05,,,90.65,101.75,false,2024/01/2024-01-30-14:15.pdf
2024-01-31,94.99,97.66,94.91,97.86,,,90.50,101.55,false,2024/01/2024-01-31-14:15.pdf
2024-02-01,94.93,97.60,94.85,97.80,,,90.40,101.50,false,2024/02/2024-02-01-14:15.pdf
2024-02-02,95.43,98.13,95.35,98.33,,,90.9,102.05,false,2024/02/2024-02-02-14:15.pdf
2024-02-03,94.41,97.10,94.33,97.30,,,89.95,101.00,false,2024/02/2024-02-03-14:15.pdf
2024-02-05,94.41,97.05,94.33,97.25,,,89.95,100.95,false,2024/02/2024-02-05-14:15.pdf
2024-02-06,94.12,96.79,94.04,96.99,,,89.65,100.65,false,2024/02/2024-02-06-14:15.pdf
2024-02-07,94.22,96.86,94.14,97.05,,,89.75,100.75,false,2024/02/2024-02-07-14:15.pdf
2024-02-08,93.79,96.41,93.71,96.61,,,89.35,100.25,false,2024/02/2024-02-08-14:15.pdf
2024-02-09,93.67,96.28,93.59,96.48,,,89.20,100.15,false,2024/02/2024-02-09-14:15.pdf
2024-02-12,93.64,96.29,93.56,96.48,,,89.20,100.15,false,2024/02/2024-02-12-14:15.pdf
2024-02-13,93.40,96.01,93.32,96.20,,,88.95,99.85,false,2024/02/2024-02-13-14:15.pdf
2024-02-14,92.48,95.04,92.41,95.24,,,88.10,98.85,false,2024/02/2024-02-14-14:15.pdf
2024-02-15,92.49,95.08,92.41,95.27,,,88.10,98.90,false,2024/02/2024-02-15-14:15.pdf
2024-02-17,92.99,95.61,92.91,95.81,,,88.55,99.45,false,2024/02/2024-02-17-14:15.pdf
2024-02-20,92.77,95.36,92.70,95.56,,,88.35,98.95,false,2024/02/2024-02-20-14:15.pdf
2024-02-21,92.87,95.45,92.79,95.64,,,88.45,99.25,false,2024/02/2024-02-21-14:15.pdf
2024-02-22,93.11,95.70,93.03,95.89,,,88.70,99.55,false,2024/02/2024-02-22-14:15.pdf
2024-02-23,92.84,95.42,92.76,95.62,,,88.45,99.25,false,2024/02/2024-02-23-14:15.pdf
2024-02-26,92.77,95.38,92.69,95.57,,,88.35,99.20,false,2024/02/2024-02-26-14:15.pdf
2024-02-27,92.93,95.52,92.85,95.71,,,88.50,99.35,false,2024/02/2024-02-27-14:15.pdf
2024-02-28,92.97,95.56,92.89,95.75,,,88.55,99.40,false,2024/02/2024-02-28-14:15.pdf
2024-02-29,93.08,95.68,93.00,95.87,,,88.65,99.50,false,2024/02/2024-02-29-14:15.pdf
2024-03-01,92.49,95.05,92.41,95.25,,,88.10,98.85,false,2024/03/2024-03-01-14:15.pdf
2024-03-02,92.42,95.02,92.34,95.21,,,88.05,98.80,false,2024/03/2024-03-02-14:15.pdf
2024-03-04,92.61,95.21,92.53,95.41,,,88.20,99.00,false,2024/03/2024-03-04-14:15.pdf
