date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2023-01-02,,,11.87,12.12,,,,,false,2023/01/2023-01-02-14:15.pdf
2023-01-03,,,11.90,12.15,,,,,false,2023/01/2023-01-03-14:15.pdf
2023-01-04,,,11.91,12.16,,,,,false,2023/01/2023-01-04-14:15.pdf
2023-01-05,,,11.91,12.16,,,,,false,2023/01/2023-01-05-14:15.pdf
2023-01-06,,,11.93,12.18,,,,,false,2023/01/2023-01-06-14:15.pdf
2023-01-07,,,11.92,12.18,,,,,false,2023/01/2023-01-07-14:15.pdf
2023-01-09,,,12.01,12.26,,,,,false,2023/01/2023-01-09-14:15.pdf
2023-01-10,,,11.98,12.24,,,,,false,2023/01/2023-01-10-14:15.pdf
2023-01-11,,,11.94,12.19,,,,,false,2023/01/2023-01-11-14:15.pdf
2023-01-16,,,12.02,12.27,,,,,false,2023/01/2023-01-16-14:15.pdf
2023-01-17,,,11.98,12.24,,,,,false,2023/01/2023-01-17-19:15.pdf
2023-01-18,,,11.93,12.18,,,,,false,2023/01/2023-01-18-14:15.pdf
2023-01-19,,,11.90,12.15,,,,,false,2023/01/2023-01-19-14:15.pdf
2023-01-20,,,11.86,12.11,,,,,false,2023/01/2023-01-20-14:15.pdf
2023-01-23,,,11.88,12.14,,,,,false,2023/01/2023-01-23-14:15.pdf
2023-01-24,,,11.9,12.16,,,,,false,2023/01/2023-01-24-14:15.pdf
2023-01-25,,,11.91,12.17,,,,,false,2023/01/2023-01-26-14:15.pdf
2023-01-27,,,11.90,12.15,,,,,false,2023/01/2023-01-27-14:15.pdf
2023-01-30,,,11.97,12.23,,,,,false,2023/01/2023-01-30-14:15.pdf
2023-01-31,,,11.97,12.22,,,,,false,2023/01/2023-01-31-14:15.pdf
2023-02-01,,,12.00,12.25,,,,,false,2023/02/2023-02-01-14:15.pdf
2023-02-02,,,12.08,12.33,,,,,false,2023/02/2023-02-02-14:15.pdf
2023-02-03,,,12.02,12.27,,,,,false,2023/02/2023-02-03-14:15.pdf
2023-02-04,,,12.02,12.28,,,,,false,2023/02/2023-02-04-14:15.pdf
2023-02-06,,,12.09,12.34,,,,,false,2023/02/2023-02-06-14:15.pdf
2023-02-07,,,12.07,12.33,,,,,false,2023/02/2023-02-07-14:15.pdf
2023-02-09,,,12.05,12.30,,,,,false,2023/02/2023-02-09-14:15.pdf
2023-02-13,,,11.99,12.25,,,,,false,2023/02/2023-02-13-14:15.pdf
2023-02-15,,,12.01,12.26,,,,,false,2023/02/2023-02-15-14:15.pdf
2023-02-20,,,11.93,12.18,,,,,false,2023/02/2023-02-20-14:15.pdf
2023-02-21,,,11.93,12.18,,,,,false,2023/02/2023-02-21-14:15.pdf
2023-02-22,,,11.90,12.15,,,,,false,2023/02/2023-02-22-14:15.pdf
2023-02-23,,,11.92,12.17,,,,,false,2023/02/2023-02-23-14:15.pdf
2023-02-24,,,11.84,12.09,,,,,false,2023/02/2023-02-24-14:15.pdf
2023-02-27,,,11.78,12.02,,,,,false,2023/02/2023-02-27-14:15.pdf
2023-02-28,,,11.82,12.06,,,,,false,2023/02/2023-02-28-14:15.pdf
2023-03-01,,,11.81,12.06,,,,,false,2023/03/2023-03-01-14:15.pdf
