date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2023-01-02,11.76,12.03,11.74,12.05,,,11.15,12.50,false,2023/01/2023-01-02-14:15.pdf
2023-01-03,11.74,12.01,11.73,12.03,,,11.15,12.45,false,2023/01/2023-01-03-14:15.pdf
2023-01-04,11.69,11.95,11.67,11.97,,,11.10,12.40,false,2023/01/2023-01-04-14:15.pdf
2023-01-05,11.69,11.95,11.68,11.97,,,11.10,12.40,false,2023/01/2023-01-05-14:15.pdf
2023-01-06,11.57,11.83,11.56,11.85,,,11.00,12.30,false,2023/01/2023-01-06-14:15.pdf
2023-01-07,11.65,11.92,11.64,11.94,,,11.05,12.40,false,2023/01/2023-01-07-14:15.pdf
2023-01-09,11.68,11.94,11.67,11.97,,,11.10,12.40,false,2023/01/2023-01-09-14:15.pdf
2023-01-10,11.71,11.98,11.69,12.00,,,11.10,12.45,false,2023/01/2023-01-10-14:15.pdf
2023-01-11,11.66,11.92,11.64,11.94,,,11.05,12.40,false,2023/01/2023-01-11-14:15.pdf
2023-01-16,11.73,12.00,11.72,12.03,,,11.15,12.45,false,2023/01/2023-01-16-14:15.pdf
2023-01-17,11.78,12.04,11.76,12.06,,,11.20,12.50,false,2023/01/2023-01-17-19:15.pdf
2023-01-18,11.71,11.98,11.70,12.00,,,11.15,12.45,false,2023/01/2023-01-18-14:15.pdf
2023-01-19,11.67,11.94,11.66,11.96,,,11.10,12.40,false,2023/01/2023-01-19-14:15.pdf
2023-01-20,11.70,11.96,11.69,11.99,,,11.10,12.40,false,2023/01/2023-01-20-14:15.pdf
2023-01-23,11.80,12.07,11.78,12.10,,,11.20,12.55,false,2023/01/2023-01-23-14:15.pdf
2023-01-24,11.79,12.06,11.77,12.08,,,11.2,12.5,false,2023/01/2023-01-24-14:15.pdf
2023-01-25,11.83,12.09,11.81,12.12,,,11.25,12.55,false,2023/01/2023-01-26-14:15.pdf
2023-01-27,11.79,12.05,11.77,12.08,,,11.20,12.50,false,2023/01/2023-01-27-14:15.pdf
2023-01-30,11.80,12.07,11.79,12.09,,,11.20,12.55,false,2023/01/2023-01-30-14:15.pdf
2023-01-31,11.78,12.04,11.76,12.06,,,11.20,12.50,false,2023/01/2023-01-31-14:15.pdf
2023-02-01,11.81,12.08,11.80,12.10,,,11.25,12.55,false,2023/02/2023-02-01-14:15.pdf
2023-02-02,11.98,12.26,11.97,12.29,,,11.40,12.70,false,2023/02/2023-02-02-14:15.pdf
2023-02-03,11.88,12.15,11.87,12.18,,,11.30,12.60,false,2023/02/2023-02-03-14:15.pdf
2023-02-04,11.79,12.06,11.78,12.08,,,11.20,12.50,false,2023/02/2023-02-04-14:15.pdf
2023-02-06,11.85,12.12,11.84,12.14,,,11.25,12.60,false,2023/02/2023-02-06-14:15.pdf
2023-02-07,11.80,12.06,11.79,12.09,,,11.20,12.50,false,2023/02/2023-02-07-14:15.pdf
2023-02-09,11.78,12.05,11.77,12.08,,,11.20,12.50,false,2023/02/2023-02-09-14:15.pdf
2023-02-13,11.71,11.98,11.70,12.00,,,11.15,12.45,false,2023/02/2023-02-13-14:15.pdf
2023-02-15,11.80,12.07,11.79,12.09,,,11.20,12.55,false,2023/02/2023-02-15-14:15.pdf
2023-02-20,11.74,12.00,11.73,12.03,,,11.15,12.45,false,2023/02/2023-02-20-14:15.pdf
2023-02-21,11.73,11.99,11.72,12.02,,,11.15,12.45,false,2023/02/2023-02-21-14:15.pdf
2023-02-22,11.73,11.99,11.72,12.02,,,11.15,12.45,false,2023/02/2023-02-22-14:15.pdf
2023-02-23,11.68,11.95,11.67,11.98,,,11.10,12.40,false,2023/02/2023-02-23-14:15.pdf
2023-02-24,11.65,11.91,11.64,11.94,,,11.05,12.35,false,2023/02/2023-02-24-14:15.pdf
2023-02-27,11.61,11.87,11.60,11.90,,,11.05,12.35,false,2023/02/2023-02-27-14:15.pdf
2023-02-28,11.65,11.91,11.63,11.93,,,11.05,12.35,false,2023/02/2023-02-28-14:15.pdf
2023-03-01,11.62,11.88,11.60,11.90,,,11.05,12.35,false,2023/03/2023-03-01-14:15.pdf
2023-03-02,11.69,11.95,11.67,11.97,,,11.10,12.40,false,2023/03/2023-03-02-14:15.pdf
2023-03-03,11.57,11.84,11.56,11.86,,,11.00,12.30,false,2023/03/2023-03-03-14:15.pdf
2023-03-04,11.56,11.83,11.55,11.85,,,11.00,12.30,false,2023/03/2023-03-04-14:15.pdf
2023-03-06,11.58,11.84,11.56,11.86,,,11.00,12.30,false,2023/03/2023-03-06-14:15.pdf
2023-03-08,11.49,11.75,11.48,11.77,,,10.90,12.20,false,2023/03/2023-03-08-14:15.pdf
2023-03-10,11.57,11.83,11.55,11.85,,,11.00,12.30,false,2023/03/2023-03-11-14:15.pdf
2023-03-13,11.65,11.91,11.64,11.94,,,11.05,12.35,false,2023/03/2023-03-13-14:15.pdf
2023-03-14,11.70,11.96,11.69,11.99,,,11.10,12.40,false,2023/03/2023-03-14-14:15.pdf
2023-03-15,11.70,11.98,11.69,12.00,,,11.10,12.45,false,2023/03/2023-03-15-14:15.pdf
2023-03-16,11.66,11.92,11.64,11.94,,,11.05,12.40,false,2023/03/2023-03-16-14:15.pdf
2023-03-17,11.67,11.93,11.66,11.96,,,11.10,12.40,false,2023/03/2023-03-17-14:15.pdf
2023-03-20,11.72,11.98,11.70,12.00,,,11.15,12.45,false,2023/03/2023-03-20-14:15.pdf
2023-03-21,11.76,12.02,11.75,12.05,,,11.20,12.50,false,2023/03/2023-03-21-14:15.pdf
2023-03-23,11.91,12.18,11.89,12.20,,,11.30,12.65,false,2023/03/2023-03-23-14:15.pdf
2023-03-24,11.83,12.10,11.82,12.13,,,11.25,12.55,false,2023/03/2023-03-24-14:15.pdf
2023-03-27,11.77,12.05,11.76,12.07,,,11.20,12.50,false,2023/03/2023-03-27-14:15.pdf
2023-03-28,11.80,12.06,11.78,12.09,,,11.20,12.50,false,2023/03/2023-03-28-14:15.pdf
2023-03-29,11.84,12.10,11.82,12.13,,,11.25,12.55,false,2023/03/2023-03-29-14:15.pdf
2023-03-31,11.89,12.16,11.88,12.19,,,11.30,12.60,false,2023/03/2023-03-31-14:15.pdf
2023-04-03,11.82,12.09,11.81,12.11,,,11.25,12.55,false,2023/04/2023-04-04-14:15.pdf
2023-04-06,11.85,12.12,11.84,12.14,,,11.25,12.60,false,2023/04/2023-04-06-14:15.pdf
2023-04-10,11.85,12.12,11.84,12.14,,,11.25,12.60,false,2023/04/2023-04-10-14:15.pdf
2023-04-11,11.84,12.10,11.82,12.13,,,11.25,12.55,false,2023/04/2023-04-11-14:15.pdf
2023-04-12,11.90,12.17,11.89,12.20,,,11.30,12.65,false,2023/04/2023-04-12-14:15.pdf
2023-04-13,11.95,12.24,11.94,12.26,,,11.35,12.70,false,2023/04/2023-04-13-19:15.pdf
2023-04-15,11.94,12.22,11.93,12.24,,,11.35,12.70,false,2023/04/2023-04-15-14:15.pdf
2023-04-17,11.94,12.21,11.92,12.23,,,11.35,12.65,false,2023/04/2023-04-17-14:15.pdf
2023-04-18,11.91,12.18,11.89,12.20,,,11.30,12.65,false,2023/04/2023-04-18-19:15.pdf
2023-04-19,11.96,12.23,11.95,12.26,,,11.35,12.70,false,2023/04/2023-04-19-14:15.pdf
2023-04-20,11.96,12.23,11.95,12.26,,,11.40,12.70,false,2023/04/2023-04-20-14:15.pdf
2023-04-21,11.95,12.23,11.94,12.25,,,11.35,12.70,false,2023/04/2023-04-21-14:15.pdf
2023-04-24,11.97,12.24,11.95,12.27,,,11.40,12.70,false,2023/04/2023-04-24-14:15.pdf
2023-04-25,12.01,12.28,11.99,12.31,,,11.40,12.75,false,2023/04/2023-04-25-14:15.pdf
2023-04-26,11.97,12.24,11.96,12.27,,,11.40,12.70,false,2023/04/2023-04-26-14:15.pdf
2023-04-28,11.96,12.23,11.94,12.25,,,11.35,12.70,false,2023/04/2023-04-28-14:15.pdf
2023-04-29,11.95,12.22,11.94,12.25,,,11.35,12.70,false,2023/04/2023-04-29-14:15.pdf
2023-05-03,11.97,12.25,11.95,12.27,,,11.4,12.7,false,2023/05/2023-05-03-20:24.pdf
2023-05-04,12.01,12.29,12.00,12.32,,,11.45,12.75,false,2023/05/2023-05-04-14:15.pdf
2023-05-06,11.95,12.23,11.93,12.25,,,11.35,12.70,false,2023/05/2023-05-06-14:15.pdf
2023-05-08,11.98,12.25,11.97,12.28,,,11.40,12.70,false,2023/05/2023-05-08-14:15.pdf
2023-05-09,11.98,12.25,11.96,12.28,,,11.40,12.70,false,2023/05/2023-05-09-14:15.pdf
2023-05-10,11.96,12.24,11.95,12.26,,,11.40,12.70,false,2023/05/2023-05-10-14:15.pdf
2023-05-11,11.95,12.22,11.93,12.24,,,11.35,12.70,false,2023/05/2023-05-11-14:15.pdf
2023-05-12,11.91,12.18,11.89,12.20,,,11.30,12.65,false,2023/05/2023-05-12-14:15.pdf
2023-05-15,11.86,12.13,11.84,12.16,,,11.25,12.60,false,2023/05/2023-05-15-14:15.pdf
2023-05-16,11.88,12.15,11.87,12.18,,,11.30,12.60,false,2023/05/2023-05-16-14:15.pdf
2023-05-17,11.88,12.15,11.86,12.18,,,11.30,12.60,false,2023/05/2023-05-17-14:15.pdf
2023-05-18,11.85,12.13,11.84,12.15,,,11.25,12.60,false,2023/05/2023-05-18-14:15.pdf
2023-05-19,11.83,12.10,11.82,12.12,,,11.25,12.55,false,2023/05/2023-05-19-19:15.pdf
2023-05-20,11.88,12.16,11.87,12.18,,,11.30,12.60,false,2023/05/2023-05-20-14:15.pdf
2023-05-22,11.90,12.16,11.88,12.19,,,11.30,12.60,false,2023/05/2023-05-22-14:15.pdf
2023-05-23,11.89,12.16,11.88,12.19,,,11.30,12.60,false,2023/05/2023-05-23-14:15.pdf
