date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2021-01-06,88.89,91.03,88.82,91.22,88.05,91.50,87.60,91.75,false,2021/01/2021-01-06-14:15.pdf
2021-01-07,89.12,91.26,89.04,91.45,88.25,91.70,87.80,91.95,false,2021/01/2021-01-07-14:15.pdf
2021-01-08,88.93,91.07,88.85,91.25,88.05,91.55,87.60,91.80,false,2021/01/2021-01-08-14:15.pdf
2021-01-11,88.32,90.49,88.25,90.67,87.45,90.95,87.00,91.20,false,2021/01/2021-01-11-14:15.pdf
2021-01-12,88.12,90.26,88.05,90.44,87.30,90.70,86.85,90.95,false,2021/01/2021-01-12-14:15.pdf
2021-01-13,88.31,90.48,88.23,90.66,87.45,90.95,87.00,91.20,false,2021/01/2021-01-13-14:15.pdf
2021-01-14,87.82,89.99,87.75,90.17,87.00,90.45,86.55,90.70,false,2021/01/2021-01-14-14:15.pdf
2021-01-15,87.71,89.88,87.64,90.06,86.85,90.35,86.40,90.60,false,2021/01/2021-01-15-14:15.pdf
2021-01-16,,,87.20,89.58,86.45,89.85,86.00,90.05,false,2021/01/2021-01-16-14:15.pdf
2021-01-18,87.34,89.50,87.26,89.68,86.50,89.95,86.05,90.15,false,2021/01/2021-01-18-14:15.pdf
2021-01-19,87.47,89.60,87.40,89.78,86.65,90.05,86.20,90.30,false,2021/01/2021-01-19-14:15.pdf
2021-02-06,,,86.61,89.02,85.85,89.30,85.40,89.50,false,2021/02/2021-02-07-14:15.pdf
2021-02-10,87.34,89.46,87.27,89.65,86.50,89.90,86.05,90.10,false,2021/02/2021-02-10-14:15.pdf
2021-02-17,87.13,89.25,87.06,89.44,86.30,89.70,85.85,89.90,false,2021/02/2021-02-17-14:15.pdf
2021-02-18,86.59,88.71,86.52,88.89,85.75,89.15,85.30,89.35,false,2021/02/2021-02-18-14:15.pdf
2021-02-22,86.66,88.78,86.59,88.96,85.85,89.20,85.40,89.40,false,2021/02/2021-02-22-14:15.pdf
2021-02-23,87.05,89.20,86.98,89.39,86.20,89.65,85.75,89.85,false,2021/02/2021-02-23-14:15.pdf
2021-02-24,86.89,89.01,86.82,89.19,86.05,89.45,85.60,89.65,false,2021/02/2021-02-24-14:15.pdf
2021-02-25,87.00,89.12,86.93,89.30,86.15,89.55,85.70,89.75,false,2021/02/2021-02-25-14:15.pdf
2021-02-26,87.69,89.85,87.62,90.04,86.85,90.30,86.40,90.55,false,2021/02/2021-02-26-14:15.pdf
2021-11-24,82.72,84.79,82.65,84.96,81.90,85.20,81.50,85.40,false,2021/11/2021-11-25-21:09.pdf
2021-11-26,82.70,84.77,82.63,84.94,81.90,85.20,81.50,85.40,false,2021/11/2021-11-26-14:15.pdf
2021-11-29,83.48,85.57,83.41,85.74,82.65,86.00,82.25,86.20,false,2021/11/2021-11-29-14:15.pdf
2021-12-01,83.90,86.00,83.84,86.17,83.10,86.45,82.70,86.65,false,2021/12/2021-12-01-14:15.pdf
2021-12-03,83.66,85.80,83.60,85.97,82.85,86.25,82.45,86.45,false,2021/12/2021-12-03-14:15.pdf
2021-12-04,,,84.01,86.35,83.25,86.60,82.85,86.80,false,2021/12/2021-12-04-14:15.pdf
2021-12-06,83.89,86.03,83.82,86.20,83.10,86.45,82.70,86.65,false,2021/12/2021-12-06-14:15.pdf
2021-12-07,84.02,86.12,83.96,86.29,83.20,86.55,82.80,86.75,false,2021/12/2021-12-07-14:15.pdf
2021-12-08,84.06,86.16,83.99,86.33,83.25,86.60,82.85,86.80,false,2021/12/2021-12-08-14:15.pdf
2021-12-09,84.51,86.61,84.44,86.78,83.70,87.05,83.30,87.25,false,2021/12/2021-12-09-14:15.pdf
2021-12-10,84.37,86.52,84.31,86.69,83.55,86.95,83.15,87.15,false,2021/12/2021-12-10-14:15.pdf
2021-12-14,84.50,86.61,84.44,86.78,83.70,87.05,83.30,87.25,false,2021/12/2021-12-14-14:15.pdf
2021-12-16,85.03,87.18,84.96,87.35,84.20,87.60,83.80,87.80,false,2021/12/2021-12-16-14:15.pdf
2021-12-17,85.30,87.42,85.23,87.59,84.50,87.85,84.10,88.05,false,2021/12/2021-12-17-14:15.pdf
2021-12-18,,,84.45,86.84,83.70,87.10,83.30,87.30,false,2021/12/2021-12-18-14:15.pdf
2021-12-20,84.57,86.72,84.50,86.89,83.75,87.15,83.35,87.35,false,2021/12/2021-12-20-14:15.pdf
2021-12-21,84.43,86.57,84.36,86.74,83.60,87.00,83.20,87.20,false,2021/12/2021-12-21-14:15.pdf
2021-12-22,84.17,86.27,84.10,86.44,83.35,86.70,82.95,86.90,false,2021/12/2021-12-22-14:15.pdf
2021-12-23,84.54,86.65,84.48,86.82,83.75,87.10,83.35,87.30,false,2021/12/2021-12-23-14:15.pdf
2021-12-24,84.10,86.20,84.03,86.37,83.30,86.65,82.90,86.85,false,2021/12/2021-12-24-14:15.pdf
2021-12-29,83.50,85.63,83.43,85.80,82.70,86.05,82.30,86.25,false,2021/12/2021-12-29-14:15.pdf
2021-12-30,83.49,85.58,83.43,85.75,82.70,86.00,82.30,86.20,false,2021/12/2021-12-30-14:15.pdf
2021-12-31,83.23,85.35,83.16,85.52,82.45,85.80,82.05,86.00,false,2021/12/2021-12-31-14:15.pdf
