date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2020-06-02,93.29,95.53,93.21,95.72,92.40,96.00,91.95,96.25,false,2020/06/2020-06-02.pdf
2020-06-03,93.41,95.62,93.34,95.81,92.50,96.10,92.05,96.35,false,2020/06/2020-06-03-14:15.pdf
2020-06-04,93.64,95.84,93.56,96.03,92.75,96.30,92.30,96.55,false,2020/06/2020-06-04-14:15.pdf
2020-06-05,93.90,96.14,93.82,96.33,93.00,96.60,92.55,96.85,false,2020/06/2020-06-05-14:15.pdf
2020-06-06,,,94.58,97.09,93.75,97.40,93.30,97.65,false,2020/06/2020-06-06-14:15.pdf
2020-06-08,95.07,97.29,94.99,97.49,94.15,97.80,93.70,98.05,false,2020/06/2020-06-08-14:15.pdf
2020-06-09,94.89,97.11,94.81,97.31,94.00,97.60,93.55,97.85,false,2020/06/2020-06-09-14:15.pdf
2020-06-10,95.11,97.34,95.04,97.53,94.20,97.85,93.75,98.10,false,2020/06/2020-06-10-14:15.pdf
2020-06-11,95.09,97.36,95.02,97.55,94.15,97.85,93.70,98.10,false,2020/06/2020-06-11-14:15.pdf
2020-06-12,94.56,96.82,94.49,97.01,93.65,97.30,93.20,97.55,false,2020/06/2020-06-12-14:15.pdf
2020-06-16,94.98,97.23,94.90,97.42,94.05,97.70,93.60,97.95,false,2020/06/2020-06-16-14:15.pdf
2020-06-17,94.72,96.94,94.65,97.13,93.80,97.40,93.35,97.65,false,2020/06/2020-06-17-14:15.pdf
2020-06-18,94.50,96.71,94.42,96.90,93.60,97.20,93.15,97.45,false,2020/06/2020-06-18-14:15.pdf
2020-06-19,93.71,95.91,93.64,96.10,92.80,96.40,92.35,96.65,false,2020/06/2020-06-19-14:15.pdf
2020-06-20,,,93.07,95.56,92.25,95.85,91.80,96.10,false,2020/06/2020-06-20-14:15.pdf
2020-06-22,93.23,95.48,93.16,95.67,92.35,95.95,91.90,96.20,false,2020/06/2020-06-22-14:15.pdf
2020-06-23,93.56,95.77,93.48,95.96,92.65,96.25,92.20,96.50,false,2020/06/2020-06-23-14:15.pdf
2020-06-24,93.60,95.81,93.52,96.00,92.70,96.30,92.25,96.55,false,2020/06/2020-06-24-14:15.pdf
2020-06-25,92.92,95.15,92.85,95.34,92.05,95.65,91.60,95.90,false,2020/06/2020-06-25-14:15.pdf
2020-06-26,92.79,94.99,92.71,95.18,91.90,95.45,91.45,95.70,false,2020/06/2020-06-26-14:15.pdf
2020-06-27,92.79,94.99,92.71,95.18,91.90,95.45,91.45,95.70,false,2020/06/2020-06-27-14:15.pdf
2020-06-28,92.79,94.99,92.71,95.18,91.90,95.45,91.45,95.70,false,2020/06/2020-06-28-14:15.pdf
2020-06-29,92.48,94.68,92.41,94.87,91.60,95.15,91.15,95.40,false,2020/06/2020-06-29-14:15.pdf
2020-06-30,91.82,94.05,91.75,94.24,90.95,94.50,90.50,94.75,false,2020/06/2020-06-30-14:15.pdf
2020-07-01,92.36,94.60,92.29,94.78,91.45,95.05,91.00,95.30,false,2020/07/2020-07-01-14:15.pdf
2020-07-02,93.24,95.43,93.16,95.62,92.35,95.90,91.90,96.15,false,2020/07/2020-07-02-14:15.pdf
2020-07-03,92.23,94.43,92.16,94.61,91.35,94.90,90.90,95.15,false,2020/07/2020-07-03-14:15.pdf
2020-07-04,,,92.13,94.59,91.30,94.85,90.85,95.10,false,2020/07/2020-07-04-14:15.pdf
2020-07-05,,,92.13,94.59,91.30,94.85,90.85,95.10,false,2020/07/2020-07-05-14:15.pdf
2020-07-06,,,92.13,94.59,91.30,94.85,90.85,95.10,false,2020/07/2020-07-06-14:15.pdf
2020-07-07,,,92.13,94.59,91.30,94.85,90.85,95.10,false,2020/07/2020-07-07-14:15.pdf
2020-07-08,93.10,95.34,93.03,95.53,92.20,95.80,91.75,96.05,false,2020/07/2020-07-08-14:15.pdf
2020-07-09,93.60,95.81,93.52,96.00,92.70,96.30,92.25,96.55,false,2020/07/2020-07-09-14:15.pdf
2020-07-10,93.51,95.72,93.44,95.91,92.60,96.20,92.15,96.45,false,2020/07/2020-07-10-14:15.pdf
2020-07-11,93.51,95.72,93.44,95.91,92.60,96.20,92.15,96.45,false,2020/07/2020-07-11-14:15.pdf
2020-07-12,93.51,95.72,93.44,95.91,92.60,96.20,92.15,96.45,false,2020/07/2020-07-12-14:15.pdf
2020-07-13,94.10,96.30,94.02,96.49,93.20,96.80,92.75,97.05,false,2020/07/2020-07-13-14:15.pdf
2020-07-14,93.44,95.63,93.36,95.82,92.55,96.10,92.10,96.35,false,2020/07/2020-07-14-14:15.pdf
2020-07-15,93.65,95.89,93.58,96.08,92.75,96.35,92.30,96.60,false,2020/07/2020-07-15-14:15.pdf
2020-07-16,93.35,95.55,93.28,95.74,92.45,96.05,92.00,96.30,false,2020/07/2020-07-16-14:15.pdf
2020-07-17,93.46,95.66,93.39,95.85,92.55,96.15,92.10,96.40,false,2020/07/2020-07-17-14:15.pdf
2020-07-18,,,93.06,95.56,92.25,95.85,91.80,96.10,false,2020/07/2020-07-18-14:15.pdf
2020-07-21,93.57,95.78,93.49,95.97,92.65,96.25,92.20,96.50,false,2020/07/2020-07-21-14:15.pdf
2020-07-22,93.86,96.06,93.79,96.26,92.95,96.55,92.50,96.80,false,2020/07/2020-07-22-14:15.pdf
2020-07-23,94.00,96.22,93.92,96.41,93.10,96.70,92.65,96.95,false,2020/07/2020-07-23-14:15.pdf
2020-07-24,94.38,96.64,94.30,96.83,93.45,97.10,93.00,97.35,false,2020/07/2020-07-24-14:15.pdf
2020-07-25,94.38,96.64,94.30,96.83,93.45,97.10,93.00,97.35,false,2020/07/2020-07-25-14:15.pdf
2020-07-26,94.38,96.64,94.30,96.83,93.45,97.10,93.00,97.35,false,2020/07/2020-07-26-14:15.pdf
2020-07-27,94.84,97.06,94.77,97.25,93.95,97.55,93.50,97.80,false,2020/07/2020-07-27-14:15.pdf
2020-07-28,95.15,97.36,95.07,97.56,94.25,97.85,93.80,98.10,false,2020/07/2020-07-28-14:15.pdf
2020-07-29,95.67,97.89,95.59,98.09,94.75,98.40,94.30,98.65,false,2020/07/2020-07-29-14:15.pdf
2020-07-30,96.04,98.26,95.96,98.46,95.10,98.75,94.60,99.00,false,2020/07/2020-07-30-14:15.pdf
2020-07-31,97.06,99.30,96.99,99.50,96.15,99.80,95.65,100.05,false,2020/07/2020-07-31-14:15.pdf
2020-08-03,96.96,99.21,96.88,99.41,96.05,99.70,95.55,99.95,false,2020/08/2020-08-03-14:15.pdf
2020-08-04,97.23,99.48,97.15,99.68,96.30,100.00,95.80,100.25,false,2020/08/2020-08-04-14:15.pdf
2020-08-05,97.03,99.28,96.95,99.47,96.10,99.80,95.60,100.05,false,2020/08/2020-08-05-14:15.pdf
2020-08-06,97.16,99.41,97.08,99.61,96.20,99.90,95.70,100.15,false,2020/08/2020-08-06-14:15.pdf
