date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2023-01-02,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/01/2023-01-02-14:15.pdf
2023-01-03,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/01/2023-01-03-14:15.pdf
2023-01-04,10.46,10.71,10.45,10.74,,,9.95,11.10,false,2023/01/2023-01-04-14:15.pdf
2023-01-05,10.47,10.72,10.45,10.74,,,9.95,11.10,false,2023/01/2023-01-05-14:15.pdf
2023-01-06,10.45,10.70,10.44,10.72,,,9.95,11.10,false,2023/01/2023-01-06-14:15.pdf
2023-01-07,10.42,10.67,10.41,10.69,,,9.90,11.10,false,2023/01/2023-01-07-14:15.pdf
2023-01-09,10.42,10.67,10.41,10.69,,,9.90,11.05,false,2023/01/2023-01-09-14:15.pdf
2023-01-10,10.38,10.63,10.37,10.65,,,9.85,11.05,false,2023/01/2023-01-10-14:15.pdf
2023-01-11,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/01/2023-01-11-14:15.pdf
2023-01-16,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/01/2023-01-16-14:15.pdf
2023-01-17,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/01/2023-01-17-19:15.pdf
2023-01-18,10.33,10.57,10.32,10.60,,,9.80,11.00,false,2023/01/2023-01-18-14:15.pdf
2023-01-19,10.28,10.52,10.27,10.54,,,9.75,10.95,false,2023/01/2023-01-19-14:15.pdf
2023-01-20,10.25,10.49,10.24,10.51,,,9.75,10.90,false,2023/01/2023-01-20-14:15.pdf
2023-01-23,10.28,10.52,10.27,10.54,,,9.75,10.95,false,2023/01/2023-01-23-14:15.pdf
2023-01-24,10.29,10.54,10.28,10.56,,,9.75,10.95,false,2023/01/2023-01-24-14:15.pdf
2023-01-25,10.30,10.55,10.29,10.57,,,9.80,10.95,false,2023/01/2023-01-26-14:15.pdf
2023-01-27,10.29,10.53,10.28,10.55,,,9.75,10.95,false,2023/01/2023-01-27-14:15.pdf
2023-01-30,10.31,10.55,10.30,10.57,,,9.80,10.95,false,2023/01/2023-01-30-14:15.pdf
2023-01-31,10.29,10.54,10.28,10.56,,,9.75,10.95,false,2023/01/2023-01-31-14:15.pdf
2023-02-01,10.31,10.56,10.30,10.58,,,9.80,10.95,false,2023/02/2023-02-01-14:15.pdf
2023-02-02,10.34,10.58,10.32,10.60,,,9.80,11.00,false,2023/02/2023-02-02-14:15.pdf
2023-02-03,10.31,10.55,10.30,10.57,,,9.80,10.95,false,2023/02/2023-02-03-14:15.pdf
2023-02-04,10.36,10.60,10.34,10.62,,,9.85,11.00,false,2023/02/2023-02-04-14:15.pdf
2023-02-06,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/02/2023-02-06-14:15.pdf
2023-02-07,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/02/2023-02-07-14:15.pdf
2023-02-09,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/02/2023-02-09-14:15.pdf
2023-02-13,10.42,10.66,10.40,10.68,,,9.90,11.05,false,2023/02/2023-02-13-14:15.pdf
2023-02-15,10.44,10.69,10.43,10.71,,,9.90,11.10,false,2023/02/2023-02-15-14:15.pdf
2023-02-20,10.44,10.68,10.42,10.71,,,9.90,11.10,false,2023/02/2023-02-20-14:15.pdf
2023-02-21,10.44,10.68,10.42,10.71,,,9.90,11.10,false,2023/02/2023-02-21-14:15.pdf
2023-02-22,10.44,10.68,10.42,10.71,,,9.90,11.10,false,2023/02/2023-02-22-14:15.pdf
2023-02-23,10.43,10.68,10.42,10.70,,,9.90,11.10,false,2023/02/2023-02-23-14:15.pdf
2023-02-24,10.42,10.66,10.40,10.69,,,9.90,11.05,false,2023/02/2023-02-24-14:15.pdf
2023-02-27,10.44,10.69,10.43,10.71,,,9.90,11.10,false,2023/02/2023-02-27-14:15.pdf
2023-02-28,10.42,10.67,10.41,10.69,,,9.90,11.05,false,2023/02/2023-02-28-14:15.pdf
2023-03-01,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/03/2023-03-01-14:15.pdf
2023-03-02,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/03/2023-03-02-14:15.pdf
2023-03-03,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/03/2023-03-03-14:15.pdf
2023-03-04,10.30,10.55,10.29,10.57,,,9.80,10.95,false,2023/03/2023-03-04-14:15.pdf
2023-03-06,10.30,10.55,10.29,10.57,,,9.80,10.95,false,2023/03/2023-03-06-14:15.pdf
2023-03-08,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/03/2023-03-08-14:15.pdf
2023-03-10,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/03/2023-03-11-14:15.pdf
2023-03-13,10.35,10.60,10.34,10.62,,,9.85,11.00,false,2023/03/2023-03-13-14:15.pdf
2023-03-14,10.37,10.61,10.36,10.64,,,9.85,11.00,false,2023/03/2023-03-14-14:15.pdf
2023-03-15,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/03/2023-03-15-14:15.pdf
2023-03-16,10.43,10.67,10.41,10.70,,,9.90,11.10,false,2023/03/2023-03-16-14:15.pdf
2023-03-17,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/03/2023-03-17-14:15.pdf
2023-03-20,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/03/2023-03-20-14:15.pdf
2023-03-21,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/03/2023-03-21-14:15.pdf
2023-03-23,10.35,10.59,10.34,10.62,,,9.85,11.00,false,2023/03/2023-03-23-14:15.pdf
2023-03-24,10.37,10.61,10.35,10.63,,,9.85,11.00,false,2023/03/2023-03-24-14:15.pdf
2023-03-27,10.37,10.62,10.36,10.64,,,9.85,11.00,false,2023/03/2023-03-27-14:15.pdf
2023-03-28,10.35,10.59,10.34,10.62,,,9.85,11.00,false,2023/03/2023-03-28-14:15.pdf
2023-03-29,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/03/2023-03-29-14:15.pdf
2023-03-31,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/03/2023-03-31-14:15.pdf
2023-04-03,10.38,10.63,10.37,10.65,,,9.85,11.05,false,2023/04/2023-04-04-14:15.pdf
2023-04-06,10.32,10.57,10.31,10.59,,,9.80,10.95,false,2023/04/2023-04-06-14:15.pdf
2023-04-10,10.31,10.56,10.30,10.58,,,9.80,10.95,false,2023/04/2023-04-10-14:15.pdf
2023-04-11,10.32,10.57,10.31,10.59,,,9.80,10.95,false,2023/04/2023-04-11-14:15.pdf
2023-04-12,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/04/2023-04-12-14:15.pdf
2023-04-13,10.33,10.57,10.32,10.59,,,9.80,11.00,false,2023/04/2023-04-13-19:15.pdf
2023-04-15,10.30,10.55,10.29,10.57,,,9.80,10.95,false,2023/04/2023-04-15-14:15.pdf
2023-04-17,10.31,10.56,10.30,10.58,,,9.80,10.95,false,2023/04/2023-04-17-14:15.pdf
2023-04-18,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/04/2023-04-18-19:15.pdf
2023-04-19,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/04/2023-04-19-14:15.pdf
2023-04-20,10.36,10.60,10.35,10.63,,,9.85,11.00,false,2023/04/2023-04-20-14:15.pdf
2023-04-21,10.35,10.59,10.33,10.61,,,9.80,11.00,false,2023/04/2023-04-21-14:15.pdf
2023-04-24,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/04/2023-04-24-14:15.pdf
2023-04-25,10.31,10.56,10.30,10.58,,,9.80,10.95,false,2023/04/2023-04-25-14:15.pdf
2023-04-26,10.29,10.53,10.28,10.55,,,9.75,10.95,false,2023/04/2023-04-26-14:15.pdf
2023-04-28,10.30,10.54,10.29,10.56,,,9.80,10.95,false,2023/04/2023-04-28-14:15.pdf
2023-04-29,10.30,10.54,10.28,10.56,,,9.80,10.95,false,2023/04/2023-04-29-14:15.pdf
2023-05-03,10.3,10.54,10.29,10.56,,,9.8,10.95,false,2023/05/2023-05-03-20:24.pdf
2023-05-04,10.29,10.53,10.27,10.55,,,9.75,10.95,false,2023/05/2023-05-04-14:15.pdf
2023-05-06,10.29,10.54,10.28,10.56,,,9.75,10.95,false,2023/05/2023-05-06-14:15.pdf
2023-05-08,10.30,10.54,10.29,10.56,,,9.80,10.95,false,2023/05/2023-05-08-14:15.pdf
2023-05-09,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/05/2023-05-09-14:15.pdf
2023-05-10,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/05/2023-05-10-14:15.pdf
2023-05-11,10.35,10.59,10.33,10.61,,,9.85,11.00,false,2023/05/2023-05-11-14:15.pdf
2023-05-12,10.35,10.60,10.34,10.62,,,9.85,11.00,false,2023/05/2023-05-12-14:15.pdf
2023-05-15,10.37,10.61,10.35,10.63,,,9.85,11.00,false,2023/05/2023-05-15-14:15.pdf
2023-05-16,10.38,10.62,10.36,10.64,,,9.85,11.00,false,2023/05/2023-05-16-14:15.pdf
2023-05-17,10.38,10.63,10.37,10.65,,,9.85,11.05,false,2023/05/2023-05-17-14:15.pdf
2023-05-18,10.43,10.67,10.41,10.69,,,9.90,11.10,false,2023/05/2023-05-18-14:15.pdf
2023-05-19,10.46,10.71,10.45,10.73,,,9.95,11.10,false,2023/05/2023-05-19-19:15.pdf
2023-05-20,10.47,10.72,10.46,10.75,,,9.95,11.15,false,2023/05/2023-05-20-14:15.pdf
2023-05-22,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/05/2023-05-22-14:15.pdf
2023-05-23,10.46,10.71,10.45,10.73,,,9.95,11.10,false,2023/05/2023-05-23-14:15.pdf
2023-05-24,10.45,10.70,10.44,10.72,,,9.95,11.10,false,2023/05/2023-05-24-14:15.pdf
2023-05-25,10.45,10.69,10.43,10.72,,,9.90,11.10,false,2023/05/2023-05-25-14:15.pdf
2023-05-26,10.44,10.69,10.43,10.71,,,9.90,11.10,false,2023/05/2023-05-26-14:15.pdf
2023-05-29,10.43,10.67,10.41,10.70,,,9.90,11.10,false,2023/05/2023-05-29-14:15.pdf
2023-05-30,10.44,10.68,10.42,10.70,,,9.90,11.10,false,2023/05/2023-05-30-14:15.pdf
2023-05-31,10.44,10.69,10.43,10.71,,,9.90,11.10,false,2023/05/2023-05-31-14:15.pdf
2023-06-02,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/06/2023-06-02-14:15.pdf
2023-06-03,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/06/2023-06-03-14:15.pdf
2023-06-05,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/06/2023-06-05-14:15.pdf
2023-06-06,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/06/2023-06-06-14:15.pdf
2023-06-07,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/06/2023-06-07-14:15.pdf
2023-06-08,10.42,10.67,10.41,10.69,,,9.90,11.05,false,2023/06/2023-06-08-14:15.pdf
2023-06-09,10.41,10.65,10.39,10.67,,,9.90,11.05,false,2023/06/2023-06-09-14:15.pdf
2023-06-12,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/06/2023-06-12-14:15.pdf
2023-06-13,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/06/2023-06-13-14:15.pdf
2023-06-14,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/06/2023-06-14-14:15.pdf
2023-06-15,10.38,10.62,10.36,10.64,,,9.85,11.05,false,2023/06/2023-06-15-14:15.pdf
2023-06-16,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/06/2023-06-16-14:15.pdf
2023-06-17,10.36,10.60,10.34,10.62,,,9.85,11.00,false,2023/06/2023-06-17-14:15.pdf
2023-06-19,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/06/2023-06-19-14:15.pdf
2023-06-20,10.37,10.62,10.36,10.64,,,9.85,11.00,false,2023/06/2023-06-20-14:15.pdf
2023-06-21,10.38,10.62,10.36,10.64,,,9.85,11.05,false,2023/06/2023-06-21-14:15.pdf
2023-06-22,10.35,10.60,10.34,10.62,,,9.85,11.00,false,2023/06/2023-06-22-14:15.pdf
2023-06-23,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/06/2023-06-23-14:15.pdf
2023-06-26,10.36,10.60,10.34,10.62,,,9.85,11.00,false,2023/06/2023-06-26-14:15.pdf
2023-06-28,10.35,10.6,10.34,10.62,,,9.85,11,false,2023/06/2023-06-28-14:15.pdf
2023-06-30,10.35,10.60,10.34,10.62,,,9.85,11.00,false,2023/06/2023-06-30-14:15.pdf
2023-07-01,10.36,10.60,10.34,10.63,,,9.85,11.00,false,2023/07/2023-07-01-14:15.pdf
2023-07-03,10.33,10.58,10.32,10.60,,,9.80,11.00,false,2023/07/2023-07-03-14:15.pdf
2023-07-04,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/07/2023-07-04-14:15.pdf
2023-07-05,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/07/2023-07-05-14:15.pdf
2023-07-06,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/07/2023-07-06-14:15.pdf
2023-07-07,10.45,10.69,10.43,10.72,,,9.90,11.10,false,2023/07/2023-07-07-14:15.pdf
2023-07-10,10.44,10.68,10.42,10.71,,,9.90,11.10,false,2023/07/2023-07-10-14:15.pdf
2023-07-11,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/07/2023-07-11-14:15.pdf
2023-07-12,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/07/2023-07-12-14:15.pdf
2023-07-13,10.36,10.61,10.35,10.63,,,9.85,11.00,false,2023/07/2023-07-13-14:15.pdf
2023-07-14,10.37,10.61,10.35,10.63,,,9.85,11.00,false,2023/07/2023-07-14-14:15.pdf
2023-07-17,10.40,10.64,10.38,10.67,,,9.90,11.05,false,2023/07/2023-07-17-14:15.pdf
2023-07-18,10.37,10.62,10.36,10.64,,,9.85,11.00,false,2023/07/2023-07-18-14:15.pdf
2023-07-20,10.38,10.63,10.37,10.65,,,9.85,11.05,false,2023/07/2023-07-20-14:15.pdf
2023-07-21,10.37,10.62,10.36,10.64,,,9.85,11.00,false,2023/07/2023-07-21-14:15.pdf
2023-07-24,10.37,10.62,10.36,10.64,,,9.85,11.00,false,2023/07/2023-07-24-14:15.pdf
2023-07-25,10.34,10.59,10.33,10.61,,,9.80,11.00,false,2023/07/2023-07-25-14:15.pdf
2023-07-26,10.37,10.62,10.36,10.64,,,9.85,11.00,false,2023/07/2023-07-26-14:15.pdf
2023-07-27,10.39,10.64,10.38,10.66,,,9.85,11.05,false,2023/07/2023-07-27-14:15.pdf
2023-07-28,10.42,10.67,10.41,10.69,,,9.90,11.10,false,2023/07/2023-07-28-14:15.pdf
2023-07-31,10.42,10.67,10.41,10.69,,,9.90,11.05,false,2023/07/2023-07-31-14:15.pdf
2023-08-01,10.44,10.69,10.43,10.71,,,9.90,11.10,false,2023/08/2023-08-01-14:15.pdf
2023-08-02,10.46,10.71,10.45,10.73,,,9.95,11.10,false,2023/08/2023-08-02-14:15.pdf
2023-08-03,10.48,10.73,10.46,10.75,,,9.95,11.15,false,2023/08/2023-08-03-14:15.pdf
2023-08-04,10.48,10.73,10.47,10.75,,,9.95,11.15,false,2023/08/2023-08-04-14:15.pdf
2023-08-05,10.47,10.72,10.45,10.74,,,9.95,11.10,false,2023/08/2023-08-05-14:15.pdf
2023-08-07,10.47,10.72,10.46,10.75,,,9.95,11.15,false,2023/08/2023-08-07-14:15.pdf
2023-08-08,10.48,10.73,10.47,10.75,,,9.95,11.15,false,2023/08/2023-08-08-14:15.pdf
2023-08-09,10.48,10.73,10.47,10.75,,,9.95,11.15,false,2023/08/2023-08-09-14:15.pdf
2023-08-10,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/08/2023-08-10-14:15.pdf
2023-08-11,10.47,10.71,10.45,10.74,,,9.95,11.10,false,2023/08/2023-08-11-14:15.pdf
2023-08-14,10.50,10.75,10.49,10.77,,,10.00,11.15,false,2023/08/2023-08-14-14:15.pdf
2023-08-17,10.48,10.73,10.47,10.75,,,9.95,11.15,false,2023/08/2023-08-17-14:15.pdf
2023-08-18,10.49,10.74,10.48,10.76,,,9.95,11.15,false,2023/08/2023-08-18-14:15.pdf
2023-08-19,10.49,10.74,10.48,10.76,,,9.95,11.15,false,2023/08/2023-08-19-14:15.pdf
2023-08-21,10.48,10.73,10.47,10.75,,,9.95,11.15,false,2023/08/2023-08-21-14:15.pdf
2023-08-22,10.49,10.73,10.47,10.76,,,9.95,11.15,false,2023/08/2023-08-22-14:15.pdf
2023-08-23,10.44,10.69,10.43,10.71,,,9.90,11.10,false,2023/08/2023-08-23-14:15.pdf
2023-08-24,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/08/2023-08-24-14:15.pdf
2023-08-25,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/08/2023-08-25-14:15.pdf
2023-08-28,10.40,10.65,10.39,10.67,,,9.90,11.05,false,2023/08/2023-08-28-14:15.pdf
2023-08-30,10.42,10.66,10.40,10.68,,,9.90,11.05,false,2023/08/2023-08-30-14:15.pdf
2023-08-31,10.42,10.66,10.40,10.68,,,9.90,11.05,false,2023/08/2023-08-31-14:15.pdf
2023-09-01,10.41,10.66,10.40,10.68,,,9.90,11.05,false,2023/09/2023-09-01-14:15.pdf
2023-09-02,10.42,10.67,10.41,10.69,,,9.90,11.05,false,2023/09/2023-09-02-14:15.pdf
2023-09-04,10.43,10.67,10.41,10.70,,,9.90,11.10,false,2023/09/2023-09-04-14:15.pdf
2023-09-06,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/09/2023-09-06-14:15.pdf
2023-09-07,10.48,10.73,10.47,10.75,,,9.95,11.15,false,2023/09/2023-09-07-14:15.pdf
2023-09-08,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/09/2023-09-08-14:15.pdf
2023-09-11,10.46,10.71,10.45,10.73,,,9.95,11.10,false,2023/09/2023-09-11-14:15.pdf
2023-09-12,10.47,10.72,10.46,10.74,,,9.95,11.10,false,2023/09/2023-09-12-14:15.pdf
