date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-09-18,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/09/2025-09-19-00:57.pdf
2025-09-19,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/09/2025-09-20-00:54.pdf
2025-09-20,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/09/2025-09-21-01:01.pdf
2025-09-22,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/09/2025-09-23-00:55.pdf
2025-09-23,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/09/2025-09-24-00:56.pdf
2025-09-26,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/09/2025-09-29-02:32.pdf
2025-09-29,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/09/2025-09-30-00:57.pdf
2025-09-30,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-01-01:03.pdf
2025-10-01,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-02-00:55.pdf
2025-10-03,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-04-00:53.pdf
2025-10-04,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-05-01:01.pdf
2025-10-06,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-07-00:56.pdf
2025-10-07,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-08-00:56.pdf
2025-10-08,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-09-00:57.pdf
2025-10-09,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-10-00:56.pdf
2025-10-10,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-11-00:54.pdf
2025-10-13,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-14-00:56.pdf
2025-10-14,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-15-00:58.pdf
2025-10-15,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-16-00:58.pdf
2025-10-16,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/10/2025-10-17-00:57.pdf
2025-10-17,0.51,0.54,0.51,0.53,0.51,0.53,,,false,2025/10/2025-10-18-00:55.pdf
2025-10-18,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/10/2025-10-19-01:04.pdf
2025-10-20,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/10/2025-10-21-00:59.pdf
2025-10-23,0.51,0.54,0.51,0.53,0.51,0.53,,,false,2025/10/2025-10-24-00:55.pdf
2025-10-24,0.51,0.54,0.51,0.53,0.51,0.53,,,false,2025/10/2025-10-25-00:56.pdf
2025-10-27,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/10/2025-10-28-00:57.pdf
2025-10-28,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-29-01:02.pdf
2025-10-29,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/10/2025-10-30-01:01.pdf
2025-10-30,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/10/2025-10-31-00:59.pdf
2025-10-31,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/11/2025-11-01-01:02.pdf
2025-11-01,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/11/2025-11-02-01:03.pdf
2025-11-03,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/11/2025-11-04-00:59.pdf
2025-11-04,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-05-01:01.pdf
2025-11-06,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-07-01:00.pdf
2025-11-07,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-08-00:57.pdf
2025-11-10,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/11/2025-11-11-01:01.pdf
2025-11-11,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/11/2025-11-12-01:00.pdf
2025-11-12,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-13-01:01.pdf
2025-11-13,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-14-01:01.pdf
2025-11-14,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-15-00:59.pdf
2025-11-15,0.52,0.55,0.52,0.54,0.52,0.54,,,false,2025/11/2025-11-16-01:05.pdf
2025-11-17,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-18-01:00.pdf
2025-11-18,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-19-01:00.pdf
2025-11-19,0.52,0.54,0.52,0.53,0.52,0.53,,,false,2025/11/2025-11-20-00:59.pdf
