date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2020-06-02,0.6887,0.7066,0.6882,0.708,0.682,0.71,0.6555,0.733,false,2020/06/2020-06-02.pdf
2020-06-03,0.6834,0.7009,0.6829,0.7023,0.677,0.7045,0.651,0.7275,false,2020/06/2020-06-03-14:15.pdf
2020-06-04,0.6845,0.7021,0.6839,0.7035,0.678,0.7055,0.652,0.7285,false,2020/06/2020-06-04-14:15.pdf
2020-06-05,0.6821,0.6997,0.6816,0.7011,0.6755,0.703,0.6495,0.726,false,2020/06/2020-06-05-14:15.pdf
2020-06-06,,,0.6807,0.6999,0.6745,0.702,0.6485,0.725,false,2020/06/2020-06-06-14:15.pdf
2020-06-08,0.6826,0.7001,0.6821,0.7015,0.676,0.7035,0.65,0.7265,false,2020/06/2020-06-08-14:15.pdf
2020-06-09,0.6902,0.7079,0.6896,0.7093,0.6835,0.7115,0.657,0.7345,false,2020/06/2020-06-09-14:15.pdf
2020-06-10,0.6929,0.7109,0.6924,0.7123,0.686,0.7145,0.6595,0.7375,false,2020/06/2020-06-10-14:15.pdf
2020-06-11,0.6997,0.7176,0.6991,0.719,0.693,0.721,0.6665,0.7445,false,2020/06/2020-06-11-14:15.pdf
2020-06-12,0.7003,0.7184,0.6997,0.7198,0.6935,0.722,0.667,0.7455,false,2020/06/2020-06-12-14:15.pdf
2020-06-16,0.6976,0.7156,0.697,0.717,0.691,0.719,0.6645,0.7425,false,2020/06/2020-06-16-14:15.pdf
2020-06-17,0.7022,0.72,0.7017,0.7214,0.6955,0.7235,0.6685,0.747,false,2020/06/2020-06-17-14:15.pdf
2020-06-18,0.7039,0.722,0.7033,0.7234,0.697,0.7255,0.67,0.749,false,2020/06/2020-06-18-14:15.pdf
2020-06-19,0.7047,0.7229,0.7042,0.7243,0.698,0.7265,0.671,0.75,false,2020/06/2020-06-19-14:15.pdf
2020-06-20,,,0.704,0.7243,0.698,0.7265,0.671,0.75,false,2020/06/2020-06-20-14:15.pdf
2020-06-22,0.7042,0.7222,0.7036,0.7236,0.6975,0.726,0.6705,0.7495,false,2020/06/2020-06-22-14:15.pdf
2020-06-23,0.6991,0.7172,0.6985,0.7186,0.6925,0.721,0.666,0.7445,false,2020/06/2020-06-23-14:15.pdf
2020-06-24,0.7011,0.7193,0.7005,0.7207,0.6945,0.723,0.6675,0.7465,false,2020/06/2020-06-24-14:15.pdf
2020-06-25,0.6978,0.7156,0.6972,0.7171,0.691,0.719,0.6645,0.7425,false,2020/06/2020-06-25-14:15.pdf
2020-06-26,0.6961,0.7142,0.6955,0.7156,0.6895,0.718,0.663,0.7415,false,2020/06/2020-06-26-14:15.pdf
2020-06-27,0.6961,0.7142,0.6955,0.7156,0.6895,0.718,0.663,0.7415,false,2020/06/2020-06-27-14:15.pdf
2020-06-28,0.6961,0.7142,0.6955,0.7156,0.6895,0.718,0.663,0.7415,false,2020/06/2020-06-28-14:15.pdf
2020-06-29,0.697,0.715,0.6964,0.7164,0.69,0.7185,0.6635,0.742,false,2020/06/2020-06-29-14:15.pdf
2020-06-30,0.692,0.7101,0.6914,0.7115,0.6855,0.7135,0.659,0.7365,false,2020/06/2020-06-30-14:15.pdf
2020-07-01,0.6929,0.7108,0.6923,0.7122,0.686,0.7145,0.6595,0.7375,false,2020/07/2020-07-01-14:15.pdf
2020-07-02,0.694,0.7118,0.6934,0.7132,0.687,0.7155,0.6605,0.739,false,2020/07/2020-07-02-14:15.pdf
2020-07-03,0.6882,0.7063,0.6876,0.7077,0.6815,0.71,0.655,0.733,false,2020/07/2020-07-03-14:15.pdf
2020-07-04,,,0.6857,0.7055,0.6795,0.7075,0.6535,0.7305,false,2020/07/2020-07-04-14:15.pdf
2020-07-05,,,0.6857,0.7055,0.6795,0.7075,0.6535,0.7305,false,2020/07/2020-07-05-14:15.pdf
2020-07-06,,,0.6857,0.7055,0.6795,0.7075,0.6535,0.7305,false,2020/07/2020-07-06-14:15.pdf
2020-07-07,,,0.6857,0.7055,0.6795,0.7075,0.6535,0.7305,false,2020/07/2020-07-07-14:15.pdf
2020-07-08,0.6892,0.7072,0.6887,0.7086,0.6825,0.7105,0.656,0.7335,false,2020/07/2020-07-08-14:15.pdf
2020-07-09,0.6901,0.7081,0.6895,0.7095,0.6835,0.7115,0.657,0.7345,false,2020/07/2020-07-09-14:15.pdf
2020-07-10,0.6933,0.7113,0.6927,0.7128,0.6865,0.715,0.66,0.738,false,2020/07/2020-07-10-14:15.pdf
2020-07-11,0.6933,0.7113,0.6927,0.7128,0.6865,0.715,0.66,0.738,false,2020/07/2020-07-11-14:15.pdf
2020-07-12,0.6933,0.7113,0.6927,0.7128,0.6865,0.715,0.66,0.738,false,2020/07/2020-07-12-14:15.pdf
2020-07-13,0.6952,0.7133,0.6946,0.7148,0.6885,0.717,0.662,0.7405,false,2020/07/2020-07-13-14:15.pdf
2020-07-14,0.6937,0.7117,0.6931,0.7131,0.687,0.7155,0.6605,0.739,false,2020/07/2020-07-14-14:15.pdf
2020-07-15,0.6939,0.7117,0.6933,0.7131,0.687,0.7155,0.6605,0.739,false,2020/07/2020-07-15-14:15.pdf
2020-07-16,0.6945,0.7123,0.6939,0.7137,0.6875,0.716,0.661,0.7395,false,2020/07/2020-07-16-14:15.pdf
2020-07-17,0.6931,0.7109,0.6925,0.7124,0.6865,0.7145,0.66,0.7375,false,2020/07/2020-07-17-14:15.pdf
2020-07-18,,,0.6917,0.7115,0.6855,0.7135,0.659,0.7365,false,2020/07/2020-07-18-14:15.pdf
2020-07-21,0.6884,0.7062,0.6879,0.7076,0.682,0.7095,0.6555,0.7325,false,2020/07/2020-07-21-14:15.pdf
2020-07-22,0.6898,0.7077,0.6892,0.7091,0.683,0.711,0.6565,0.734,false,2020/07/2020-07-22-14:15.pdf
2020-07-23,0.6883,0.7063,0.6877,0.7077,0.6815,0.71,0.655,0.733,false,2020/07/2020-07-23-14:15.pdf
2020-07-24,0.6955,0.7135,0.695,0.7149,0.689,0.717,0.6625,0.7405,false,2020/07/2020-07-24-14:15.pdf
2020-07-25,0.6955,0.7135,0.695,0.7149,0.689,0.717,0.6625,0.7405,false,2020/07/2020-07-25-14:15.pdf
2020-07-26,0.6955,0.7135,0.695,0.7149,0.689,0.717,0.6625,0.7405,false,2020/07/2020-07-26-14:15.pdf
2020-07-27,0.6986,0.7167,0.698,0.7182,0.692,0.7205,0.6655,0.744,false,2020/07/2020-07-27-14:15.pdf
2020-07-28,0.7003,0.7185,0.6997,0.7199,0.6935,0.722,0.667,0.7455,false,2020/07/2020-07-28-14:15.pdf
2020-07-29,0.7037,0.722,0.7031,0.7234,0.697,0.7255,0.67,0.749,false,2020/07/2020-07-29-14:15.pdf
2020-07-30,0.7033,0.7217,0.7028,0.7231,0.6965,0.7255,0.6695,0.749,false,2020/07/2020-07-30-14:15.pdf
2020-07-31,0.7078,0.7266,0.7073,0.728,0.701,0.73,0.674,0.7535,false,2020/07/2020-07-31-14:15.pdf
2020-08-03,0.6987,0.717,0.6982,0.7185,0.692,0.7205,0.6655,0.744,false,2020/08/2020-08-03-14:15.pdf
2020-08-04,0.7,0.7181,0.6995,0.7195,0.693,0.7215,0.6665,0.745,false,2020/08/2020-08-04-14:15.pdf
2020-08-05,0.7011,0.7196,0.7006,0.721,0.6945,0.723,0.6675,0.7465,false,2020/08/2020-08-05-14:15.pdf
2020-08-06,0.7001,0.7187,0.6995,0.7201,0.6935,0.7225,0.667,0.746,false,2020/08/2020-08-06-14:15.pdf
2020-08-10,0.6998,0.7182,0.6992,0.7196,0.693,0.722,0.6665,0.7455,false,2020/08/2020-08-10-14:15.pdf
2020-08-12,0.6915,0.7094,0.6909,0.7108,0.685,0.713,0.6585,0.736,false,2020/08/2020-08-12-14:15.pdf
2020-08-13,0.6923,0.7101,0.6918,0.7115,0.6855,0.7135,0.659,0.7365,false,2020/08/2020-08-13-14:15.pdf
2020-08-14,0.6915,0.7094,0.6909,0.7108,0.685,0.713,0.6585,0.736,false,2020/08/2020-08-14-14:15.pdf
2020-08-25,0.6924,0.7104,0.6918,0.7118,0.6855,0.714,0.659,0.737,false,2020/08/2020-08-25-14:15.pdf
2020-08-26,0.6894,0.7072,0.6888,0.7086,0.6825,0.7105,0.656,0.7335,false,2020/08/2020-08-26-14:15.pdf
2020-08-27,0.6887,0.7066,0.6881,0.708,0.682,0.71,0.6555,0.733,false,2020/08/2020-08-27-14:15.pdf
2020-08-28,0.6821,0.7,0.6815,0.7014,0.6755,0.7035,0.6495,0.7265,false,2020/08/2020-08-28-14:15.pdf
2020-08-29,,,0.6855,0.7055,0.6795,0.7075,0.6535,0.7305,false,2020/08/2020-08-29-14:15.pdf
2020-08-31,0.6877,0.7059,0.6871,0.7073,0.681,0.7095,0.6545,0.7325,false,2020/08/2020-08-31-14:15.pdf
2020-09-01,0.6823,0.7003,0.6817,0.7018,0.6755,0.704,0.6495,0.727,false,2020/09/2020-09-01-14:15.pdf
2020-09-02,0.6823,0.7003,0.6817,0.7018,0.6755,0.704,0.6495,0.727,false,2020/09/2020-09-02-14:15.pdf
2020-09-03,0.6802,0.6981,0.6796,0.6995,0.6735,0.7015,0.6475,0.7245,false,2020/09/2020-09-03-14:15.pdf
2020-09-04,0.683,0.7011,0.6825,0.7026,0.6765,0.7045,0.6505,0.7275,false,2020/09/2020-09-04-14:15.pdf
2020-09-05,,,0.6797,0.6995,0.6735,0.7015,0.6475,0.7245,false,2020/09/2020-09-05-14:15.pdf
2020-09-06,,,0.6797,0.6995,0.6735,0.7015,0.6475,0.7245,false,2020/09/2020-09-06-14:15.pdf
2020-09-07,0.6797,0.6976,0.6792,0.6991,0.673,0.701,0.647,0.724,false,2020/09/2020-09-07-14:15.pdf
2020-09-08,0.6843,0.7024,0.6838,0.7038,0.6775,0.706,0.6515,0.729,false,2020/09/2020-09-08-14:15.pdf
2020-09-10,0.6809,0.6988,0.6804,0.7002,0.6745,0.7025,0.6485,0.7255,false,2020/09/2020-09-10-14:15.pdf
2020-09-11,0.6836,0.7016,0.6831,0.703,0.677,0.705,0.651,0.728,false,2020/09/2020-09-11-14:15.pdf
