date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2022-01-01,,,239.47,253.47,,,232.95,257.15,false,2022/01/2022-01-01-14:15.pdf
2022-01-03,239.46,252.75,239.26,253.25,,,232.65,256.95,false,2022/01/2022-01-03-14:15.pdf
2022-01-05,239.89,253.20,239.70,253.70,,,233.10,257.45,false,2022/01/2022-01-05-14:15.pdf
2022-01-06,239.73,253.03,239.53,253.53,,,232.95,257.30,false,2022/01/2022-01-06-14:15.pdf
2022-01-07,239.39,252.67,239.19,253.18,,,232.55,256.85,false,2022/01/2022-01-07-14:15.pdf
2022-01-08,239.39,252.67,239.19,253.18,,,232.55,256.85,false,2022/01/2022-01-08-14:15.pdf
2022-01-09,239.39,252.67,239.19,253.18,,,232.55,256.85,false,2022/01/2022-01-09-14:15.pdf
2022-01-10,238.67,251.78,238.48,252.28,,,231.95,256.10,false,2022/01/2022-01-10-14:15.pdf
2022-01-11,237.96,251.19,237.77,251.69,,,231.30,255.35,false,2022/01/2022-01-11-14:15.pdf
2022-01-12,237.40,250.60,237.20,251.10,,,230.65,254.85,false,2022/01/2022-01-12-14:15.pdf
2022-01-13,238.05,251.27,237.85,251.78,,,231.2,255.45,false,2022/01/2022-01-13-14:15.pdf
2022-01-14,238.69,251.95,238.49,252.45,,,231.85,256.15,false,2022/01/2022-01-14-14:15.pdf
2022-01-15,,,238.98,252.96,,,232.5,256.65,false,2022/01/2022-01-15-14:15.pdf
2022-01-17,239.11,252.39,238.92,252.9,,,232.35,256.65,false,2022/01/2022-01-17-14:15.pdf
2022-01-18,239.66,252.96,239.47,253.47,,,232.95,257.15,false,2022/01/2022-01-18-14:15.pdf
2022-01-19,240.44,253.8,240.24,254.31,,,233.7,258.15,false,2022/01/2022-01-19-19:15.pdf
2022-01-21,240.05,253.37,239.86,253.88,,,233.1,257.65,false,2022/01/2022-01-21-19:15.pdf
2022-01-25,240.37,253.7,240.18,254.21,,,233.45,258,false,2022/01/2022-01-25-19:15.pdf
2022-01-29,,,240.83,254.92,,,234.15,258.75,false,2022/01/2022-01-30-14:15.pdf
2022-02-01,239.73,253.03,239.54,253.53,,,232.90,257.40,false,2022/02/2022-02-01-14:15.pdf
2022-01-31,240.13,253.47,239.94,253.98,,,233.25,257.80,false,2022/02/2022-02-02-14:15.pdf
2022-02-03,241.07,254.46,240.87,254.97,,,234.35,258.80,false,2022/02/2022-02-03-14:15.pdf
2022-02-04,240.64,254.01,240.44,254.52,,,233.70,258.30,false,2022/02/2022-02-04-14:15.pdf
2022-02-05,,,240.46,254.54,,,233.80,258.35,false,2022/02/2022-02-05-19:15.pdf
2022-02-17,241.92,255.35,241.72,255.85,,,235.20,259.70,false,2022/02/2022-02-17-14:15.pdf
2022-02-18,241.87,255.30,241.67,255.80,,,234.95,259.65,false,2022/02/2022-02-21-14:15.pdf
2022-02-22,240.67,254.05,240.48,254.55,,,233.95,258.40,false,2022/02/2022-02-22-14:15.pdf
2022-02-23,240.29,253.65,240.10,254.16,,,233.60,258.00,false,2022/02/2022-02-23-14:15.pdf
2022-02-24,241.80,255.22,241.60,255.73,,,234.75,259.60,false,2022/02/2022-02-24-14:15.pdf
2022-02-25,240.90,256.32,240.70,256.82,,,233.95,260.60,false,2022/02/2022-02-25-14:15.pdf
2022-02-28,242.72,256.17,242.52,256.68,,,235.65,260.55,false,2022/02/2022-02-28-14:15.pdf
2022-03-02,243.55,257.04,243.35,257.55,,,236.60,261.40,false,2022/03/2022-03-02-14:15.pdf
2022-03-03,243.39,256.88,243.20,257.39,,,236.30,261.25,false,2022/03/2022-03-03-14:15.pdf
2022-03-04,244.45,257.66,244.26,258.17,,,237.35,262.05,false,2022/03/2022-03-04-14:15.pdf
2022-03-05,,,245.13,259.24,,,238.35,263.15,false,2022/03/2022-03-05-14:15.pdf
2022-03-07,247.07,260.55,246.87,261.06,,,239.90,264.95,false,2022/03/2022-03-07-14:15.pdf
2022-03-08,246.55,259.67,246.36,260.17,,,239.40,264.05,false,2022/03/2022-03-08-14:15.pdf
2022-03-09,246.42,260.03,246.23,260.53,,,239.45,264.45,false,2022/03/2022-03-09-14:15.pdf
2022-03-10,244.69,258.22,244.49,258.73,,,237.75,262.60,false,2022/03/2022-03-10-14:15.pdf
2022-03-11,245.59,259.01,245.40,259.51,,,238.65,263.40,false,2022/03/2022-03-11-19:15.pdf
2022-03-14,245.41,258.97,245.22,259.48,,,238.30,263.35,false,2022/03/2022-03-14-14:15.pdf
2022-03-15,244.57,258.09,244.37,258.59,,,237.65,262.45,false,2022/03/2022-03-15-14:15.pdf
2022-03-17,243.54,257.03,243.35,257.53,,,236.60,261.40,false,2022/03/2022-03-17-14:15.pdf
2022-03-19,,,243.45,257.41,,,236.55,261.25,false,2022/03/2022-03-19-14:15.pdf
2022-03-21,243.89,257.39,243.70,257.89,,,237.00,261.65,false,2022/03/2022-03-21-19:15.pdf
2022-03-22,244.13,257.64,243.94,258.14,,,237.20,262.00,false,2022/03/2022-03-22-19:15.pdf
2022-03-23,243.52,257.00,243.33,257.50,,,236.55,261.30,false,2022/03/2022-03-23-19:15.pdf
2022-03-24,244.59,258.12,244.40,258.62,,,237.70,262.40,false,2022/03/2022-03-24-14:15.pdf
2022-03-25,244.08,257.44,243.89,257.94,,,237.15,261.80,false,2022/03/2022-03-25-14:15.pdf
2022-03-28,244.54,258.07,244.35,258.57,,,237.70,262.40,false,2022/03/2022-03-28-14:15.pdf
2022-03-31,242.63,256.07,242.43,256.57,,,235.65,260.35,false,2022/04/2022-04-02-19:15.pdf
2022-04-04,242.21,255.48,242.01,255.98,,,235.30,259.85,false,2022/04/2022-04-04-14:15.pdf
2022-04-05,241.61,255.00,241.41,255.50,,,234.75,259.35,false,2022/04/2022-04-05-19:15.pdf
2022-04-12,242.9,256.34,242.71,256.84,,,235.9,260.7,false,2022/04/2022-04-12-14:15.pdf
2022-04-13,243.3,256.44,243.09,256.94,,,236.5,260.8,false,2022/04/2022-04-13-14:15.pdf
2022-04-16,,,243.38,257.31,,,236.7,261.2,false,2022/04/2022-04-16-14:15.pdf
2022-04-18,244.1,257.57,243.86,258.07,,,237.2,262,false,2022/04/2022-04-18-14:15.pdf
2022-04-19,243.6,256.95,243.44,257.45,,,236.7,261.3,false,2022/04/2022-04-19-14:15.pdf
2022-04-21,243.3,256.6,243.1,257.1,,,236.3,261,false,2022/04/2022-04-21-14:15.pdf
2022-04-22,243.4,256.88,243.23,257.39,,,236.5,261.3,false,2022/04/2022-04-22-14:15.pdf
2022-04-25,244.1,257.63,243.95,258.14,,,237.2,262,false,2022/04/2022-04-25-14:15.pdf
2022-04-26,243.7,257.15,243.49,257.65,,,236.9,261.4,false,2022/04/2022-04-26-14:15.pdf
2022-04-27,244.2,257.63,243.95,258.13,,,237.1,262,false,2022/04/2022-04-27-14:15.pdf
2022-04-28,243.6,257.05,243.4,257.55,,,236.7,261.4,false,2022/04/2022-04-28-14:15.pdf
2022-04-29,243.1,256.54,242.92,257.04,,,236.2,260.9,false,2022/04/2022-04-29-14:15.pdf
2022-04-30,,,242.76,256.88,,,236.1,260.8,false,2022/04/2022-04-30-14:15.pdf
2022-05-05,241.9,255.14,241.71,255.63,,,234.9,259.5,false,2022/05/2022-05-05-14:15.pdf
2022-05-06,243.5,256.65,243.33,257.15,,,236.5,261.1,false,2022/05/2022-05-06-14:15.pdf
2022-05-07,,,243.79,257.88,,,237.1,261.8,false,2022/05/2022-05-07-14:15.pdf
2022-05-09,245.8,259.06,245.59,259.59,,,238.9,263.5,false,2022/05/2022-05-09-14:15.pdf
2022-05-11,245.3,258.29,245.03,258.83,,,238.3,262.7,false,2022/05/2022-05-11-14:15.pdf
2022-05-12,245.9,259.47,245.7,260,,,239,263.9,false,2022/05/2022-05-12-14:15.pdf
2022-05-13,245.5,259.04,245.28,259.57,,,238.4,263.4,false,2022/05/2022-05-13-14:15.pdf
2022-05-17,246.4,259.98,246.18,260.51,,,239.3,264.3,false,2022/05/2022-05-17-14:15.pdf
2022-05-18,246.3,259.86,246.06,260.39,,,239.1,264.2,false,2022/05/2022-05-18-14:15.pdf
2022-05-19,246.85,260.44,246.62,260.97,,,239.90,264.85,false,2022/05/2022-05-19-14:15.pdf
2022-05-20,246.53,259.96,246.31,260.50,,,239.55,264.35,false,2022/05/2022-05-20-14:15.pdf
2022-05-21,,,247.29,261.52,,,240.6,265.4,false,2022/05/2022-05-21-14:15.pdf
2022-05-24,247.07,260.38,246.84,260.91,,,239.95,264.80,false,2022/05/2022-05-24-14:15.pdf
2022-05-25,246.93,260.54,246.71,261.07,,,239.90,264.90,false,2022/05/2022-05-25-14:15.pdf
2022-05-26,247.25,260.29,247.02,260.82,,,240.10,264.70,false,2022/05/2022-05-26-14:15.pdf
2022-05-27,247.60,260.66,247.38,261.20,,,240.60,265.05,false,2022/05/2022-05-27-14:15.pdf
2022-05-30,247.12,260.58,246.89,261.12,,,240.05,265.05,false,2022/05/2022-05-30-14:15.pdf
2022-05-31,247.34,260.39,247.12,260.92,,,240.35,264.75,false,2022/05/2022-05-31-14:15.pdf
2022-06-02,246.94,260.30,246.71,260.84,,,239.95,264.70,false,2022/06/2022-06-02-14:15.pdf
2022-06-03,246.83,259.85,246.60,260.39,,,239.70,264.25,false,2022/06/2022-06-03-14:15.pdf
2022-06-04,,,247.02,260.82,,,240.10,264.70,false,2022/06/2022-06-04-14:15.pdf
2022-06-06,247.38,260.51,247.16,261.05,,,240.25,264.90,false,2022/06/2022-06-06-14:15.pdf
2022-06-07,247.27,260.31,247.05,260.84,,,240.20,264.80,false,2022/06/2022-06-07-14:15.pdf
2022-06-09,247.14,260.75,246.92,261.29,,,240.00,265.15,false,2022/06/2022-06-09-14:15.pdf
2022-06-10,247.38,261.01,247.16,261.54,,,240.40,265.40,false,2022/06/2022-06-10-14:15.pdf
2022-06-13,248.29,261.79,248.07,262.33,,,241.35,266.30,false,2022/06/2022-06-13-14:15.pdf
2022-06-14,247.77,260.83,247.55,261.36,,,240.75,265.20,false,2022/06/2022-06-14-14:15.pdf
2022-06-15,247.30,260.38,247.08,260.91,,,240.35,264.75,false,2022/06/2022-06-15-14:15.pdf
2022-06-17,247.95,261.05,247.72,261.59,,,240.80,265.45,false,2022/06/2022-06-17-14:15.pdf
2022-06-18,,,247.46,261.35,,,240.70,265.20,false,2022/06/2022-06-18-14:15.pdf
2022-06-20,247.59,260.68,247.36,261.21,,,240.65,265.15,false,2022/06/2022-06-20-14:15.pdf
2022-06-21,247.83,260.89,247.61,261.42,,,240.85,265.30,false,2022/06/2022-06-21-14:15.pdf
2022-06-22,247.89,261.37,247.67,261.90,,,240.85,265.70,false,2022/06/2022-06-22-14:15.pdf
2022-06-23,248.84,261.94,248.61,262.47,,,241.65,266.35,false,2022/06/2022-06-23-14:15.pdf
2022-06-24,248.85,261.95,248.62,262.48,,,241.75,266.45,false,2022/06/2022-06-24-14:15.pdf
2022-06-27,248.71,262.40,248.49,262.94,,,241.60,266.90,false,2022/06/2022-06-27-14:15.pdf
2022-06-28,250.03,263.42,249.81,263.95,,,242.85,267.85,false,2022/06/2022-06-28-14:15.pdf
2022-06-29,250.48,263.88,250.25,264.41,,,243.30,268.30,false,2022/06/2022-06-29-14:15.pdf
2022-06-30,250.65,264.42,250.42,264.96,,,243.60,268.85,false,2022/06/2022-06-30-14:15.pdf
