date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2022-01-01,,,8.35,8.57,,,7.95,8.90,false,2022/01/2022-01-01-14:15.pdf
2022-01-03,8.33,8.52,8.32,8.54,,,7.90,8.85,false,2022/01/2022-01-03-14:15.pdf
2022-01-05,8.32,8.52,8.30,8.53,,,7.90,8.85,false,2022/01/2022-01-05-14:15.pdf
2022-01-06,8.30,8.50,8.29,8.52,,,7.90,8.85,false,2022/01/2022-01-06-14:15.pdf
2022-01-07,8.28,8.48,8.27,8.49,,,7.85,8.80,false,2022/01/2022-01-07-14:15.pdf
2022-01-08,8.28,8.48,8.27,8.49,,,7.85,8.80,false,2022/01/2022-01-08-14:15.pdf
2022-01-09,8.28,8.48,8.27,8.49,,,7.85,8.80,false,2022/01/2022-01-09-14:15.pdf
2022-01-10,8.29,8.48,8.28,8.50,,,7.90,8.85,false,2022/01/2022-01-10-14:15.pdf
2022-01-11,8.27,8.46,8.26,8.48,,,7.85,8.80,false,2022/01/2022-01-11-14:15.pdf
2022-01-12,8.32,8.52,8.31,8.54,,,7.90,8.85,false,2022/01/2022-01-12-14:15.pdf
2022-01-13,8.43,8.64,8.42,8.65,,,8,9,false,2022/01/2022-01-13-14:15.pdf
2022-01-14,8.43,8.63,8.41,8.64,,,8,8.95,false,2022/01/2022-01-14-14:15.pdf
2022-01-15,,,8.34,8.61,,,7.95,8.95,false,2022/01/2022-01-15-14:15.pdf
2022-01-17,8.36,8.56,8.35,8.58,,,7.95,8.9,false,2022/01/2022-01-17-14:15.pdf
2022-01-18,8.41,8.61,8.4,8.63,,,8,8.95,false,2022/01/2022-01-18-14:15.pdf
2022-01-19,8.38,8.58,8.37,8.6,,,7.95,8.95,false,2022/01/2022-01-19-19:15.pdf
2022-01-21,8.34,8.54,8.33,8.56,,,7.95,8.9,false,2022/01/2022-01-21-19:15.pdf
2022-01-25,8.2,8.39,8.18,8.4,,,7.8,8.7,false,2022/01/2022-01-25-19:15.pdf
2022-01-29,,,8.24,8.46,,,7.85,8.8,false,2022/01/2022-01-30-14:15.pdf
2022-02-01,8.28,8.48,8.26,8.49,,,7.85,8.80,false,2022/02/2022-02-01-14:15.pdf
2022-01-31,8.25,8.44,8.23,8.46,,,7.85,8.80,false,2022/02/2022-02-02-14:15.pdf
2022-02-03,8.39,8.60,8.38,8.61,,,8.00,8.95,false,2022/02/2022-02-03-14:15.pdf
2022-02-04,8.49,8.69,8.48,8.70,,,8.10,9.05,false,2022/02/2022-02-04-14:15.pdf
2022-02-05,,,8.38,8.61,,,8.00,8.95,false,2022/02/2022-02-05-19:15.pdf
2022-02-17,8.33,8.53,8.32,8.55,,,7.95,8.90,false,2022/02/2022-02-17-14:15.pdf
2022-02-18,8.34,8.54,8.33,8.55,,,7.95,8.90,false,2022/02/2022-02-21-14:15.pdf
2022-02-22,8.21,8.40,8.19,8.42,,,7.80,8.70,false,2022/02/2022-02-22-14:15.pdf
