date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2021-01-06,52.38,54.10,52.34,54.21,,,49.85,56.10,false,2021/01/2021-01-06-14:15.pdf
2021-01-07,52.69,54.41,52.64,54.52,,,50.15,56.50,false,2021/01/2021-01-07-14:15.pdf
2021-01-08,52.55,54.30,52.50,54.41,,,50.05,56.30,false,2021/01/2021-01-08-14:15.pdf
2021-01-11,52.14,53.89,52.09,54.00,,,49.65,55.90,false,2021/01/2021-01-11-14:15.pdf
2021-01-12,51.95,53.70,51.90,53.81,,,49.45,55.70,false,2021/01/2021-01-12-14:15.pdf
2021-01-13,52.21,53.96,52.17,54.07,,,49.70,56.00,false,2021/01/2021-01-13-14:15.pdf
2021-01-14,51.97,53.68,51.93,53.79,,,49.45,55.70,false,2021/01/2021-01-14-14:15.pdf
2021-01-15,51.96,53.71,51.92,53.82,,,49.45,55.70,false,2021/01/2021-01-15-14:15.pdf
2021-01-16,,,51.50,53.36,,,49.10,55.25,false,2021/01/2021-01-16-14:15.pdf
2021-01-18,51.55,53.26,51.51,53.36,,,49.10,55.25,false,2021/01/2021-01-18-14:15.pdf
2021-01-19,51.56,53.26,51.52,53.37,,,49.10,55.30,false,2021/01/2021-01-19-14:15.pdf
2021-02-06,,,51.72,53.62,,,49.25,55.55,false,2021/02/2021-02-07-14:15.pdf
2021-02-10,52.08,53.79,52.03,53.90,,,49.55,55.80,false,2021/02/2021-02-10-14:15.pdf
2021-02-17,51.82,53.56,51.77,53.67,,,49.30,55.60,false,2021/02/2021-02-17-14:15.pdf
2021-02-18,51.66,53.36,51.61,53.47,,,49.20,55.40,false,2021/02/2021-02-18-14:15.pdf
2021-02-22,52.24,53.98,52.19,54.09,,,49.70,56.00,false,2021/02/2021-02-22-14:15.pdf
2021-02-23,52.34,54.05,52.30,54.17,,,49.80,56.05,false,2021/02/2021-02-23-14:15.pdf
2021-02-24,52.60,54.32,52.56,54.43,,,50.10,56.35,false,2021/02/2021-02-24-14:15.pdf
2021-02-25,53.08,54.80,53.04,54.92,,,50.50,56.90,false,2021/02/2021-02-25-14:15.pdf
2021-02-26,53.03,54.75,52.98,54.86,,,50.50,56.80,false,2021/02/2021-02-26-14:15.pdf
2021-11-24,50.81,52.55,50.77,52.66,,,48.30,54.50,false,2021/11/2021-11-25-21:09.pdf
2021-11-26,50.23,51.97,50.19,52.08,,,47.80,53.95,false,2021/11/2021-11-26-14:15.pdf
2021-11-29,50.51,52.26,50.47,52.37,,,48.05,54.20,false,2021/11/2021-11-29-14:15.pdf
2021-12-01,50.71,52.47,50.67,52.57,,,48.25,54.45,false,2021/12/2021-12-01-14:15.pdf
2021-12-03,50.24,52.03,50.20,52.13,,,47.80,54.00,false,2021/12/2021-12-03-14:15.pdf
2021-12-04,,,50.00,51.89,,,47.65,53.75,false,2021/12/2021-12-04-14:15.pdf
2021-12-06,50.15,51.86,50.11,51.97,,,47.75,53.80,false,2021/12/2021-12-06-14:15.pdf
2021-12-07,50.23,51.95,50.19,52.05,,,47.80,53.90,false,2021/12/2021-12-07-14:15.pdf
2021-12-08,50.55,52.31,50.51,52.41,,,48.10,54.25,false,2021/12/2021-12-08-14:15.pdf
2021-12-09,50.73,52.45,50.69,52.56,,,48.25,54.40,false,2021/12/2021-12-09-14:15.pdf
2021-12-10,50.76,52.48,50.72,52.58,,,48.30,54.45,false,2021/12/2021-12-10-14:15.pdf
2021-12-14,50.48,52.20,50.44,52.30,,,48.00,54.15,false,2021/12/2021-12-14-14:15.pdf
2021-12-16,50.93,52.70,50.89,52.80,,,48.45,54.65,false,2021/12/2021-12-16-14:15.pdf
2021-12-17,50.97,52.74,50.93,52.84,,,48.50,54.70,false,2021/12/2021-12-17-14:15.pdf
2021-12-18,,,50.57,52.47,,,48.15,54.35,false,2021/12/2021-12-18-14:15.pdf
2021-12-20,50.50,52.26,50.46,52.36,,,48.00,54.20,false,2021/12/2021-12-20-14:15.pdf
2021-12-21,50.26,52.01,50.22,52.12,,,47.85,53.95,false,2021/12/2021-12-21-14:15.pdf
2021-12-22,50.31,52.03,50.27,52.13,,,47.90,54.00,false,2021/12/2021-12-22-14:15.pdf
2021-12-23,50.70,52.45,50.66,52.56,,,48.20,54.40,false,2021/12/2021-12-23-14:15.pdf
2021-12-24,50.51,52.26,50.47,52.37,,,48.05,54.20,false,2021/12/2021-12-24-14:15.pdf
2021-12-29,50.26,51.97,50.22,52.07,,,47.85,53.95,false,2021/12/2021-12-29-14:15.pdf
2021-12-30,50.35,52.09,50.31,52.19,,,47.90,54.05,false,2021/12/2021-12-30-14:15.pdf
2021-12-31,50.13,51.87,50.09,51.97,,,47.70,53.85,false,2021/12/2021-12-31-14:15.pdf
