date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-01-01,216.2,228.99,216.03,229.45,,,210.3,232.4,false,2025/01/2025-01-02-00:08.pdf
2025-01-02,216.6,229.37,216.39,229.83,,,210.6,232.8,false,2025/01/2025-01-03-00:08.pdf
2025-01-04,216.7,229.48,216.49,229.93,,,210.7,232.9,false,2025/01/2025-01-04-12:03.pdf
2025-01-06,216.7,229.51,216.51,229.96,,,210.8,232.95,false,2025/01/2025-01-07-00:09.pdf
2025-01-07,216.6,229.44,216.46,229.89,,,210.7,232.9,false,2025/01/2025-01-08-00:08.pdf
2025-01-08,216.7,229.47,216.49,229.93,,,210.7,232.9,false,2025/01/2025-01-09-00:08.pdf
2025-01-09,217,229.8,216.79,230.25,,,211,233.25,false,2025/01/2025-01-10-00:08.pdf
2025-01-10,216.9,229.69,216.69,230.15,,,210.9,233.15,false,2025/01/2025-01-11-12:03.pdf
2025-01-14,218.8,231.74,218.63,232.19,,,212.8,235.2,false,2025/01/2025-01-14-12:03.pdf
2025-01-15,218.1,230.93,217.87,231.38,,,212.1,234.4,false,2025/01/2025-01-16-00:08.pdf
2025-01-16,218.2,231.06,217.99,231.51,,,212.2,234.55,false,2025/01/2025-01-17-00:08.pdf
2025-01-17,218.7,231.6,218.51,232.05,,,212.7,235.05,false,2025/01/2025-01-18-00:07.pdf
2025-01-18,219.5,232.41,219.27,232.87,,,213.4,235.9,false,2025/01/2025-01-19-00:08.pdf
2025-01-21,218.5,231.35,218.29,231.81,,,212.5,234.8,false,2025/01/2025-01-21-12:03.pdf
2025-01-22,218.5,230.84,218.3,231.29,,,212.5,234.3,false,2025/01/2025-01-23-00:08.pdf
2025-01-23,218.4,231.23,218.17,231.69,,,212.4,234.7,false,2025/01/2025-01-24-00:08.pdf
2025-01-24,217.7,230.53,217.52,230.99,,,211.7,234,false,2025/01/2025-01-25-00:07.pdf
2025-01-27,217.4,230.23,217.24,230.68,,,211.5,233.7,false,2025/01/2025-01-27-12:03.pdf
2025-01-28,218.4,231.32,218.26,231.78,,,212.5,234.8,false,2025/01/2025-01-29-00:08.pdf
2025-01-29,218.7,231.59,218.52,232.05,,,212.7,235.05,false,2025/01/2025-01-30-00:08.pdf
2025-01-30,218.6,231.45,218.39,231.9,,,212.6,234.9,false,2025/01/2025-01-31-00:08.pdf
2025-01-31,218.7,231.59,218.52,232.05,,,212.7,235.05,false,2025/02/2025-02-01-00:08.pdf
2025-02-01,218.6,231.53,218.45,231.98,,,212.6,235,false,2025/02/2025-02-02-00:08.pdf
2025-02-03,217.6,230.39,217.39,230.83,,,211.6,233.85,false,2025/02/2025-02-04-00:08.pdf
2025-02-04,219.7,232.66,219.52,233.11,,,213.7,236.15,false,2025/02/2025-02-05-00:08.pdf
2025-02-05,220.7,233.74,220.56,234.19,,,214.7,237.25,false,2025/02/2025-02-06-00:08.pdf
2025-02-06,221,233.98,220.79,234.43,,,214.9,237.5,false,2025/02/2025-02-07-00:08.pdf
2025-02-07,220.8,233.84,220.66,234.3,,,214.8,237.35,false,2025/02/2025-02-08-00:08.pdf
2025-02-10,220.7,233.65,220.47,234.11,,,214.6,237.15,false,2025/02/2025-02-11-00:08.pdf
2025-02-11,219.1,231.99,218.88,232.44,,,213.1,235.45,false,2025/02/2025-02-12-00:08.pdf
2025-02-12,218.9,231.85,218.76,232.3,,,212.9,235.35,false,2025/02/2025-02-13-00:08.pdf
2025-02-13,219.2,232.11,219.01,232.56,,,213.2,235.6,false,2025/02/2025-02-14-00:08.pdf
2025-02-15,219.1,232,218.91,232.45,,,213.1,235.5,false,2025/02/2025-02-15-12:02.pdf
2025-02-17,219.2,232.09,219,232.55,,,213.2,235.55,false,2025/02/2025-02-18-00:08.pdf
2025-02-18,219.5,232.38,219.27,232.83,,,213.4,235.85,false,2025/02/2025-02-19-00:08.pdf
2025-02-20,218.8,231.72,218.64,232.17,,,212.8,235.2,false,2025/02/2025-02-21-00:08.pdf
2025-02-21,218.9,231.83,218.76,232.29,,,212.9,235.3,false,2025/02/2025-02-22-00:08.pdf
2025-02-24,219.9,232.88,219.74,233.33,,,213.9,236.35,false,2025/02/2025-02-25-00:08.pdf
2025-02-25,220,232.91,219.78,233.36,,,213.9,236.4,false,2025/02/2025-02-26-00:08.pdf
2025-02-27,220.3,233.3,220.16,233.76,,,214.3,236.8,false,2025/02/2025-02-27-12:03.pdf
2025-02-28,220.6,233.58,220.41,234.03,,,214.5,237.1,false,2025/03/2025-03-01-00:09.pdf
2025-03-01,221.1,234.08,220.88,234.53,,,215,237.6,false,2025/03/2025-03-02-00:09.pdf
