date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2020-06-02,20.12,21.20,20.11,21.24,,,19.55,21.55,false,2020/06/2020-06-02.pdf
2020-06-03,20.11,21.18,20.09,21.22,,,19.55,21.55,false,2020/06/2020-06-03-14:15.pdf
2020-06-04,20.23,21.30,20.21,21.34,,,19.65,21.65,false,2020/06/2020-06-04-14:15.pdf
2020-06-05,20.19,21.26,20.17,21.31,,,19.60,21.65,false,2020/06/2020-06-05-14:15.pdf
2020-06-06,,,20.03,21.22,,,19.50,21.55,false,2020/06/2020-06-06-14:15.pdf
2020-06-08,20.25,21.33,20.24,21.38,,,19.65,21.70,false,2020/06/2020-06-08-14:15.pdf
2020-06-09,20.22,21.29,20.20,21.34,,,19.65,21.65,false,2020/06/2020-06-09-14:15.pdf
2020-06-10,20.22,21.29,20.20,21.34,,,19.65,21.65,false,2020/06/2020-06-10-14:15.pdf
2020-06-11,20.28,21.36,20.27,21.41,,,19.70,21.75,false,2020/06/2020-06-11-14:15.pdf
2020-06-12,20.36,21.45,20.35,21.49,,,19.75,21.80,false,2020/06/2020-06-12-14:15.pdf
2020-06-16,20.32,21.39,20.30,21.44,,,19.75,21.75,false,2020/06/2020-06-16-14:15.pdf
2020-06-17,20.42,21.51,20.41,21.55,,,19.85,21.85,false,2020/06/2020-06-17-14:15.pdf
2020-06-18,20.39,21.47,20.38,21.52,,,19.80,21.85,false,2020/06/2020-06-18-14:15.pdf
2020-06-19,20.42,21.50,20.40,21.54,,,19.85,21.85,false,2020/06/2020-06-19-14:15.pdf
2020-06-20,,,20.21,21.44,,,19.65,21.75,false,2020/06/2020-06-20-14:15.pdf
2020-06-22,20.40,21.49,20.39,21.53,,,19.85,21.85,false,2020/06/2020-06-22-14:15.pdf
2020-06-23,20.31,21.39,20.29,21.43,,,19.70,21.75,false,2020/06/2020-06-23-14:15.pdf
2020-06-24,20.25,21.33,20.24,21.38,,,19.65,21.70,false,2020/06/2020-06-24-14:15.pdf
2020-06-25,20.28,21.36,20.26,21.40,,,19.70,21.70,false,2020/06/2020-06-25-14:15.pdf
2020-06-26,20.22,21.30,20.21,21.34,,,19.65,21.65,false,2020/06/2020-06-26-14:15.pdf
2020-06-27,20.22,21.30,20.21,21.34,,,19.65,21.65,false,2020/06/2020-06-27-14:15.pdf
2020-06-28,20.22,21.30,20.21,21.34,,,19.65,21.65,false,2020/06/2020-06-28-14:15.pdf
2020-06-29,20.25,21.33,20.23,21.37,,,19.65,21.70,false,2020/06/2020-06-29-14:15.pdf
2020-06-30,20.21,21.29,20.19,21.33,,,19.65,21.65,false,2020/06/2020-06-30-14:15.pdf
2020-07-01,20.22,21.29,20.21,21.33,,,19.65,21.65,false,2020/07/2020-07-01-14:15.pdf
2020-07-02,20.06,21.12,20.04,21.16,,,19.50,21.50,false,2020/07/2020-07-02-14:15.pdf
2020-07-03,20.05,21.13,20.04,21.17,,,19.50,21.50,false,2020/07/2020-07-03-14:15.pdf
2020-07-04,,,19.98,21.10,,,19.45,21.40,false,2020/07/2020-07-04-14:15.pdf
2020-07-05,,,19.98,21.10,,,19.45,21.40,false,2020/07/2020-07-05-14:15.pdf
2020-07-06,,,19.98,21.10,,,19.45,21.40,false,2020/07/2020-07-06-14:15.pdf
2020-07-07,,,19.98,21.10,,,19.45,21.40,false,2020/07/2020-07-07-14:15.pdf
2020-07-08,20.08,21.15,20.07,21.20,,,19.50,21.50,false,2020/07/2020-07-08-14:15.pdf
2020-07-09,20.07,21.14,20.05,21.18,,,19.50,21.50,false,2020/07/2020-07-09-14:15.pdf
2020-07-10,20.11,21.19,20.10,21.23,,,19.55,21.55,false,2020/07/2020-07-10-14:15.pdf
2020-07-11,20.11,21.19,20.10,21.23,,,19.55,21.55,false,2020/07/2020-07-11-14:15.pdf
2020-07-12,20.11,21.19,20.10,21.23,,,19.55,21.55,false,2020/07/2020-07-12-14:15.pdf
2020-07-13,20.14,21.21,20.12,21.25,,,19.55,21.55,false,2020/07/2020-07-13-14:15.pdf
2020-07-14,20.15,21.23,20.14,21.27,,,19.60,21.60,false,2020/07/2020-07-14-14:15.pdf
