date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2020-06-02,19.52,20.56,19.50,20.60,,,18.95,20.90,false,2020/06/2020-06-02.pdf
2020-06-03,19.51,20.55,19.49,20.59,,,18.95,20.90,false,2020/06/2020-06-03-14:15.pdf
2020-06-04,19.62,20.67,19.60,20.71,,,19.05,21.00,false,2020/06/2020-06-04-14:15.pdf
2020-06-05,19.58,20.61,19.56,20.66,,,19.00,20.95,false,2020/06/2020-06-05-14:15.pdf
2020-06-06,,,19.60,20.71,,,19.05,21.00,false,2020/06/2020-06-06-14:15.pdf
2020-06-08,19.64,20.68,19.63,20.72,,,19.05,21.05,false,2020/06/2020-06-08-14:15.pdf
2020-06-09,19.62,20.66,19.61,20.70,,,19.05,21.00,false,2020/06/2020-06-09-14:15.pdf
2020-06-10,19.62,20.66,19.61,20.70,,,19.05,21.00,false,2020/06/2020-06-10-14:15.pdf
2020-06-11,19.68,20.73,19.67,20.77,,,19.10,21.10,false,2020/06/2020-06-11-14:15.pdf
2020-06-12,19.76,20.81,19.75,20.85,,,19.20,21.15,false,2020/06/2020-06-12-14:15.pdf
2020-06-16,19.72,20.76,19.70,20.80,,,19.15,21.10,false,2020/06/2020-06-16-14:15.pdf
2020-06-17,19.83,20.87,19.81,20.91,,,19.25,21.20,false,2020/06/2020-06-17-14:15.pdf
2020-06-18,19.79,20.84,19.78,20.88,,,19.20,21.20,false,2020/06/2020-06-18-14:15.pdf
2020-06-19,19.82,20.87,19.80,20.91,,,19.25,21.20,false,2020/06/2020-06-19-14:15.pdf
2020-06-20,,,19.80,20.91,,,19.25,21.25,false,2020/06/2020-06-20-14:15.pdf
2020-06-22,19.80,20.85,19.79,20.89,,,19.25,21.20,false,2020/06/2020-06-22-14:15.pdf
2020-06-23,19.71,20.76,19.70,20.80,,,19.15,21.10,false,2020/06/2020-06-23-14:15.pdf
2020-06-24,19.66,20.70,19.64,20.74,,,19.10,21.05,false,2020/06/2020-06-24-14:15.pdf
2020-06-25,19.68,20.72,19.67,20.76,,,19.10,21.05,false,2020/06/2020-06-25-14:15.pdf
2020-06-26,19.63,20.67,19.62,20.71,,,19.05,21.00,false,2020/06/2020-06-26-14:15.pdf
2020-06-27,19.63,20.67,19.62,20.71,,,19.05,21.00,false,2020/06/2020-06-27-14:15.pdf
2020-06-28,19.63,20.67,19.62,20.71,,,19.05,21.00,false,2020/06/2020-06-28-14:15.pdf
2020-06-29,19.66,20.70,19.64,20.74,,,19.10,21.05,false,2020/06/2020-06-29-14:15.pdf
2020-06-30,19.62,20.66,19.61,20.70,,,19.05,21.00,false,2020/06/2020-06-30-14:15.pdf
2020-07-01,19.63,20.67,19.62,20.71,,,19.05,21.00,false,2020/07/2020-07-01-14:15.pdf
2020-07-02,19.63,20.66,19.61,20.70,,,19.05,21.00,false,2020/07/2020-07-02-14:15.pdf
2020-07-03,19.47,20.50,19.45,20.55,,,18.90,20.85,false,2020/07/2020-07-03-14:15.pdf
2020-07-04,,,19.40,20.49,,,18.85,20.80,false,2020/07/2020-07-04-14:15.pdf
2020-07-05,,,19.40,20.49,,,18.85,20.80,false,2020/07/2020-07-05-14:15.pdf
2020-07-06,,,19.40,20.49,,,18.85,20.80,false,2020/07/2020-07-06-14:15.pdf
2020-07-07,,,19.40,20.49,,,18.85,20.80,false,2020/07/2020-07-07-14:15.pdf
2020-07-08,19.50,20.53,19.48,20.57,,,18.95,20.90,false,2020/07/2020-07-08-14:15.pdf
2020-07-09,19.48,20.52,19.47,20.56,,,18.95,20.85,false,2020/07/2020-07-09-14:15.pdf
2020-07-10,19.53,20.56,19.51,20.61,,,18.95,20.90,false,2020/07/2020-07-10-14:15.pdf
