date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2022-01-01,,,8.13,8.35,,,7.75,8.60,false,2022/01/2022-01-01-14:15.pdf
2022-01-03,8.12,8.31,8.11,8.33,,,7.70,8.60,false,2022/01/2022-01-03-14:15.pdf
2022-01-05,8.11,8.30,8.10,8.32,,,7.70,8.60,false,2022/01/2022-01-05-14:15.pdf
2022-01-06,8.07,8.26,8.06,8.27,,,7.65,8.55,false,2022/01/2022-01-06-14:15.pdf
2022-01-07,8.05,8.23,8.04,8.25,,,7.65,8.50,false,2022/01/2022-01-07-14:15.pdf
2022-01-08,8.05,8.23,8.04,8.25,,,7.65,8.50,false,2022/01/2022-01-08-14:15.pdf
2022-01-09,8.05,8.23,8.04,8.25,,,7.65,8.50,false,2022/01/2022-01-09-14:15.pdf
2022-01-10,8.08,8.27,8.07,8.29,,,7.70,8.55,false,2022/01/2022-01-10-14:15.pdf
2022-01-11,8.04,8.23,8.03,8.25,,,7.65,8.50,false,2022/01/2022-01-11-14:15.pdf
2022-01-12,8.08,8.27,8.07,8.28,,,7.70,8.55,false,2022/01/2022-01-12-14:15.pdf
2022-01-13,8.17,8.36,8.16,8.38,,,7.75,8.65,false,2022/01/2022-01-13-14:15.pdf
2022-01-14,8.2,8.39,8.19,8.41,,,7.8,8.7,false,2022/01/2022-01-14-14:15.pdf
2022-01-15,,,8.1,8.34,,,7.7,8.6,false,2022/01/2022-01-15-14:15.pdf
2022-01-17,8.13,8.32,8.12,8.34,,,7.75,8.6,false,2022/01/2022-01-17-14:15.pdf
2022-01-18,8.14,8.33,8.12,8.35,,,7.75,8.6,false,2022/01/2022-01-18-14:15.pdf
2022-01-19,8.08,8.26,8.06,8.28,,,7.65,8.55,false,2022/01/2022-01-19-19:15.pdf
2022-01-21,7.99,8.18,7.98,8.19,,,7.6,8.45,false,2022/01/2022-01-21-19:15.pdf
2022-01-25,7.95,8.13,7.94,8.15,,,7.55,8.4,false,2022/01/2022-01-25-19:15.pdf
2022-01-29,,,7.85,8.06,,,7.45,8.35,false,2022/01/2022-01-30-14:15.pdf
2022-02-01,7.90,8.08,7.89,8.10,,,7.50,8.35,false,2022/02/2022-02-01-14:15.pdf
2022-01-31,7.88,8.06,7.87,8.07,,,7.50,8.35,false,2022/02/2022-02-02-14:15.pdf
