date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2023-01-02,61.05,62.43,61.01,62.55,,,58.10,64.80,false,2023/01/2023-01-02-14:15.pdf
2023-01-03,61.16,62.56,61.11,62.69,,,58.20,64.90,false,2023/01/2023-01-03-14:15.pdf
2023-01-04,61.17,62.52,61.13,62.65,,,58.25,64.90,false,2023/01/2023-01-04-14:15.pdf
2023-01-05,61.05,62.41,61.00,62.54,,,58.10,64.80,false,2023/01/2023-01-05-14:15.pdf
2023-01-06,60.78,62.14,60.73,62.27,,,57.90,64.50,false,2023/01/2023-01-06-14:15.pdf
2023-01-07,60.98,62.37,60.93,62.50,,,58.05,64.75,false,2023/01/2023-01-07-14:15.pdf
2023-01-09,61.18,62.59,61.14,62.71,,,58.25,64.95,false,2023/01/2023-01-09-14:15.pdf
2023-01-10,60.91,62.27,60.87,62.39,,,57.95,64.65,false,2023/01/2023-01-10-14:15.pdf
2023-01-11,60.68,62.02,60.63,62.15,,,57.80,64.40,false,2023/01/2023-01-11-14:15.pdf
2023-01-16,61.13,62.51,61.08,62.63,,,58.20,64.85,false,2023/01/2023-01-16-14:15.pdf
2023-01-17,61.20,62.56,61.16,62.69,,,58.25,64.95,false,2023/01/2023-01-17-19:15.pdf
2023-01-18,61.04,62.42,61.00,62.54,,,58.10,64.80,false,2023/01/2023-01-18-14:15.pdf
2023-01-19,60.85,62.23,60.80,62.35,,,57.95,64.60,false,2023/01/2023-01-19-14:15.pdf
2023-01-20,60.72,62.10,60.68,62.22,,,57.85,64.45,false,2023/01/2023-01-20-14:15.pdf
2023-01-23,61.12,62.51,61.08,62.63,,,58.20,64.85,false,2023/01/2023-01-23-14:15.pdf
2023-01-24,61.15,62.53,61.1,62.65,,,58.2,64.9,false,2023/01/2023-01-24-14:15.pdf
2023-01-25,61.25,62.64,61.21,62.76,,,58.30,65.00,false,2023/01/2023-01-26-14:15.pdf
2023-01-27,61.39,62.78,61.34,62.90,,,58.45,65.15,false,2023/01/2023-01-27-14:15.pdf
2023-01-30,61.48,62.87,61.43,62.99,,,58.55,65.25,false,2023/01/2023-01-30-14:15.pdf
2023-01-31,61.44,62.83,61.39,62.96,,,58.50,65.20,false,2023/01/2023-01-31-14:15.pdf
2023-02-01,61.55,62.95,61.51,63.07,,,58.60,65.30,false,2023/02/2023-02-01-14:15.pdf
2023-02-02,62.12,63.54,62.07,63.66,,,59.15,65.95,false,2023/02/2023-02-02-14:15.pdf
2023-02-03,61.73,63.14,61.68,63.26,,,58.80,65.50,false,2023/02/2023-02-03-14:15.pdf
2023-02-04,61.43,62.84,61.38,62.97,,,58.50,65.20,false,2023/02/2023-02-04-14:15.pdf
2023-02-06,61.79,63.19,61.74,63.31,,,58.85,65.55,false,2023/02/2023-02-06-14:15.pdf
2023-02-07,61.63,63.04,61.58,63.17,,,58.70,65.40,false,2023/02/2023-02-07-14:15.pdf
2023-02-09,61.62,63.01,61.57,63.14,,,58.65,65.40,false,2023/02/2023-02-09-14:15.pdf
2023-02-13,61.39,62.77,61.34,62.90,,,58.45,65.15,false,2023/02/2023-02-13-14:15.pdf
2023-02-15,61.61,62.99,61.56,63.12,,,58.65,65.35,false,2023/02/2023-02-15-14:15.pdf
2023-02-20,61.23,62.60,61.18,62.73,,,58.30,64.95,false,2023/02/2023-02-20-14:15.pdf
2023-02-21,61.20,62.57,61.15,62.70,,,58.25,64.95,false,2023/02/2023-02-21-14:15.pdf
2023-02-22,61.18,62.53,61.14,62.66,,,58.25,64.90,false,2023/02/2023-02-22-14:15.pdf
2023-02-23,61.20,62.57,61.15,62.70,,,58.25,64.95,false,2023/02/2023-02-23-14:15.pdf
2023-02-24,60.94,62.31,60.90,62.44,,,58.00,64.65,false,2023/02/2023-02-24-14:15.pdf
2023-02-27,60.70,62.06,60.66,62.18,,,57.80,64.40,false,2023/02/2023-02-27-14:15.pdf
2023-02-28,60.71,62.07,60.66,62.19,,,57.80,64.45,false,2023/02/2023-02-28-14:15.pdf
2023-03-01,60.59,61.95,60.55,62.08,,,57.70,64.25,false,2023/03/2023-03-01-14:15.pdf
2023-03-02,60.72,62.09,60.68,62.21,,,57.85,64.45,false,2023/03/2023-03-02-14:15.pdf
2023-03-03,60.30,61.65,60.25,61.78,,,57.40,63.95,false,2023/03/2023-03-03-14:15.pdf
2023-03-04,60.18,61.58,60.13,61.70,,,57.30,63.90,false,2023/03/2023-03-04-14:15.pdf
2023-03-06,60.22,61.58,60.18,61.70,,,57.35,63.90,false,2023/03/2023-03-06-14:15.pdf
2023-03-08,59.94,61.26,59.90,61.39,,,57.05,63.55,false,2023/03/2023-03-08-14:15.pdf
2023-03-10,59.93,61.28,59.89,61.40,,,57.05,63.60,false,2023/03/2023-03-11-14:15.pdf
2023-03-13,60.32,61.66,60.28,61.78,,,57.45,63.95,false,2023/03/2023-03-13-14:15.pdf
2023-03-14,60.38,61.74,60.34,61.87,,,57.50,64.05,false,2023/03/2023-03-14-14:15.pdf
2023-03-15,60.66,62.03,60.62,62.15,,,57.80,64.40,false,2023/03/2023-03-15-14:15.pdf
2023-03-16,60.60,61.96,60.56,62.08,,,57.70,64.25,false,2023/03/2023-03-16-14:15.pdf
2023-03-17,60.84,62.19,60.80,62.32,,,57.95,64.55,false,2023/03/2023-03-17-14:15.pdf
2023-03-20,60.92,62.29,60.87,62.41,,,58.00,64.65,false,2023/03/2023-03-20-14:15.pdf
2023-03-21,61.00,62.37,60.96,62.50,,,58.05,64.75,false,2023/03/2023-03-21-14:15.pdf
2023-03-23,61.37,62.76,61.32,62.89,,,58.40,65.10,false,2023/03/2023-03-23-14:15.pdf
2023-03-24,61.29,62.68,61.25,62.81,,,58.35,65.05,false,2023/03/2023-03-24-14:15.pdf
2023-03-27,61.13,62.51,61.09,62.64,,,58.20,64.90,false,2023/03/2023-03-27-14:15.pdf
2023-03-28,61.17,62.57,61.12,62.70,,,58.20,64.95,false,2023/03/2023-03-28-14:15.pdf
2023-03-29,61.23,62.60,61.19,62.72,,,58.30,64.95,false,2023/03/2023-03-29-14:15.pdf
2023-03-31,61.21,62.59,61.16,62.72,,,58.25,64.95,false,2023/03/2023-03-31-14:15.pdf
2023-04-03,61.13,62.51,61.09,62.64,,,58.20,64.85,false,2023/04/2023-04-04-14:15.pdf
2023-04-06,60.98,62.34,60.93,62.46,,,58.05,64.70,false,2023/04/2023-04-06-14:15.pdf
2023-04-10,60.88,62.26,60.84,62.38,,,57.95,64.60,false,2023/04/2023-04-10-14:15.pdf
2023-04-11,60.88,62.28,60.84,62.40,,,57.95,64.65,false,2023/04/2023-04-11-14:15.pdf
2023-04-12,60.93,62.30,60.88,62.43,,,58.00,64.65,false,2023/04/2023-04-12-14:15.pdf
2023-04-13,61.16,62.52,61.12,62.65,,,58.20,64.90,false,2023/04/2023-04-13-19:15.pdf
2023-04-15,60.85,62.23,60.81,62.35,,,57.95,64.60,false,2023/04/2023-04-15-14:15.pdf
2023-04-17,60.81,62.21,60.76,62.33,,,57.90,64.55,false,2023/04/2023-04-17-14:15.pdf
2023-04-18,60.83,62.21,60.79,62.33,,,57.95,64.55,false,2023/04/2023-04-18-19:15.pdf
2023-04-19,60.89,62.27,60.85,62.40,,,57.95,64.65,false,2023/04/2023-04-19-14:15.pdf
2023-04-20,60.97,62.34,60.92,62.47,,,58.05,64.70,false,2023/04/2023-04-20-14:15.pdf
2023-04-21,60.93,62.31,60.89,62.44,,,58.00,64.65,false,2023/04/2023-04-21-14:15.pdf
2023-04-24,60.80,62.17,60.75,62.30,,,57.90,64.55,false,2023/04/2023-04-24-14:15.pdf
2023-04-25,60.73,62.10,60.69,62.22,,,57.85,64.45,false,2023/04/2023-04-25-14:15.pdf
2023-04-26,60.55,61.91,60.51,62.03,,,57.65,64.20,false,2023/04/2023-04-26-14:15.pdf
2023-04-28,60.63,62.00,60.59,62.12,,,57.75,64.30,false,2023/04/2023-04-28-14:15.pdf
2023-04-29,60.59,61.95,60.54,62.07,,,57.70,64.25,false,2023/04/2023-04-29-14:15.pdf
2023-05-03,60.66,62.04,60.61,62.17,,,57.75,64.4,false,2023/05/2023-05-03-20:24.pdf
2023-05-04,60.85,62.22,60.80,62.34,,,57.95,64.60,false,2023/05/2023-05-04-14:15.pdf
2023-05-06,61.01,62.38,60.96,62.51,,,58.05,64.75,false,2023/05/2023-05-06-14:15.pdf
2023-05-08,61.02,62.40,60.98,62.52,,,58.10,64.75,false,2023/05/2023-05-08-14:15.pdf
2023-05-09,61.26,62.65,61.21,62.78,,,58.30,65.00,false,2023/05/2023-05-09-14:15.pdf
2023-05-10,61.18,62.55,61.14,62.68,,,58.25,64.90,false,2023/05/2023-05-10-14:15.pdf
2023-05-11,61.18,62.57,61.13,62.69,61.13,62.69,58.25,64.95,false,2023/05/2023-05-11-14:15.pdf
2023-05-12,60.99,62.36,60.94,62.49,60.94,62.49,58.05,64.75,false,2023/05/2023-05-12-14:15.pdf
2023-05-15,60.76,62.10,60.71,62.23,60.71,62.23,57.85,64.45,false,2023/05/2023-05-15-14:15.pdf
2023-05-16,60.90,62.27,60.86,62.40,60.86,62.40,57.95,64.65,false,2023/05/2023-05-16-14:15.pdf
2023-05-17,60.73,62.09,60.68,62.22,60.68,62.22,57.85,64.45,false,2023/05/2023-05-17-14:15.pdf
2023-05-18,60.71,62.07,60.67,62.20,60.67,62.20,57.80,64.45,false,2023/05/2023-05-18-14:15.pdf
2023-05-19,60.69,62.03,60.65,62.16,60.65,62.16,57.80,64.40,false,2023/05/2023-05-19-19:15.pdf
2023-05-20,60.92,62.28,60.87,62.41,60.87,62.41,58.00,64.65,false,2023/05/2023-05-20-14:15.pdf
2023-05-22,60.95,62.30,60.91,62.42,60.91,62.42,58.00,64.65,false,2023/05/2023-05-22-14:15.pdf
2023-05-23,60.88,62.24,60.83,62.37,60.83,62.37,57.95,64.60,false,2023/05/2023-05-23-14:15.pdf
2023-05-24,60.87,62.23,60.83,62.36,60.83,62.36,57.95,64.60,false,2023/05/2023-05-24-14:15.pdf
2023-05-25,60.54,61.90,60.50,62.02,60.50,62.02,57.65,64.20,false,2023/05/2023-05-25-14:15.pdf
2023-05-26,60.51,61.86,60.46,61.99,60.46,61.99,57.60,64.15,false,2023/05/2023-05-26-14:15.pdf
2023-05-29,60.40,61.75,60.36,61.88,,,57.50,64.05,false,2023/05/2023-05-29-14:15.pdf
2023-05-30,60.39,61.74,60.35,61.86,,,57.50,64.05,false,2023/05/2023-05-30-14:15.pdf
2023-05-31,60.43,61.81,60.39,61.93,,,57.55,64.10,false,2023/05/2023-05-31-14:15.pdf
2023-06-02,60.58,61.91,60.53,62.04,,,57.70,64.20,false,2023/06/2023-06-02-14:15.pdf
2023-06-03,60.36,61.74,60.32,61.86,,,57.50,64.05,false,2023/06/2023-06-03-14:15.pdf
2023-06-05,60.39,61.74,60.35,61.87,,,57.50,64.05,false,2023/06/2023-06-05-14:15.pdf
2023-06-06,60.54,61.89,60.49,62.02,,,57.65,64.20,false,2023/06/2023-06-06-14:15.pdf
2023-06-07,60.60,61.94,60.56,62.07,,,57.70,64.25,false,2023/06/2023-06-07-14:15.pdf
2023-06-08,60.64,62.00,60.60,62.13,,,57.75,64.30,false,2023/06/2023-06-08-14:15.pdf
2023-06-09,60.75,62.09,60.70,62.22,,,57.85,64.45,false,2023/06/2023-06-09-14:15.pdf
2023-06-12,60.70,62.07,60.66,62.19,,,57.80,64.45,false,2023/06/2023-06-12-14:15.pdf
2023-06-13,60.77,62.14,60.73,62.26,,,57.90,64.50,false,2023/06/2023-06-13-14:15.pdf
2023-06-14,60.68,62.02,60.64,62.15,,,57.80,64.40,false,2023/06/2023-06-14-14:15.pdf
2023-06-15,60.46,61.82,60.41,61.95,,,57.55,64.15,false,2023/06/2023-06-15-14:15.pdf
2023-06-16,60.65,62.02,60.61,62.14,,,57.75,64.40,false,2023/06/2023-06-16-14:15.pdf
2023-06-17,60.58,61.95,60.54,62.07,60.54,62.07,57.70,64.25,false,2023/06/2023-06-17-14:15.pdf
2023-06-19,60.50,61.87,60.46,61.99,60.46,61.99,57.60,64.20,false,2023/06/2023-06-19-14:15.pdf
2023-06-20,60.48,61.84,60.44,61.97,60.44,61.97,57.60,64.15,false,2023/06/2023-06-20-14:15.pdf
2023-06-21,60.46,61.82,60.41,61.95,60.41,61.95,57.55,64.15,false,2023/06/2023-06-21-14:15.pdf
2023-06-22,60.46,61.82,60.42,61.94,60.42,61.94,57.55,64.15,false,2023/06/2023-06-22-14:15.pdf
2023-06-23,60.22,61.55,60.18,61.68,60.18,61.68,57.35,63.85,false,2023/06/2023-06-23-14:15.pdf
2023-06-26,60.07,61.42,60.03,61.54,60.03,61.54,57.20,63.75,false,2023/06/2023-06-26-14:15.pdf
2023-06-28,60.08,61.43,60.04,61.55,,,57.2,63.75,false,2023/06/2023-06-28-14:15.pdf
2023-06-30,59.88,61.20,59.84,61.33,59.84,61.33,57.00,63.50,false,2023/06/2023-06-30-14:15.pdf
2023-07-01,60.06,61.41,60.01,61.53,60.01,61.53,57.20,63.70,false,2023/07/2023-07-01-14:15.pdf
2023-07-03,59.95,61.30,59.90,61.41,59.90,61.41,57.05,63.60,false,2023/07/2023-07-03-14:15.pdf
2023-07-04,60.02,61.35,59.98,61.47,59.98,61.47,57.15,63.65,false,2023/07/2023-07-04-14:15.pdf
