date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-01-01,,,,,,,2.354,2.606,false,2025/01/2025-01-02-00:08.pdf
2025-01-02,,,,,,,2.374,2.618,false,2025/01/2025-01-03-00:08.pdf
2025-01-04,,,,,,,2.352,2.595,false,2025/01/2025-01-04-12:03.pdf
2025-01-06,,,,,,,2.347,2.5905,false,2025/01/2025-01-07-00:09.pdf
2025-01-07,,,,,,,2.345,2.587,false,2025/01/2025-01-08-00:08.pdf
2025-01-08,,,,,,,2.346,2.588,false,2025/01/2025-01-09-00:08.pdf
2025-01-09,,,,,,,2.348,2.5895,false,2025/01/2025-01-10-00:08.pdf
2025-01-10,,,,,,,2.348,2.5895,false,2025/01/2025-01-11-12:03.pdf
2025-01-14,,,,,,,2.364,2.607,false,2025/01/2025-01-14-12:03.pdf
2025-01-15,,,,,,,2.352,2.594,false,2025/01/2025-01-16-00:08.pdf
2025-01-16,,,,,,,2.367,2.6095,false,2025/01/2025-01-17-00:08.pdf
2025-01-17,,,,,,,2.38,2.625,false,2025/01/2025-01-18-00:07.pdf
2025-01-18,,,,,,,2.387,2.635,false,2025/01/2025-01-19-00:08.pdf
2025-01-21,,,,,,,2.408,2.6555,false,2025/01/2025-01-21-12:03.pdf
2025-01-22,,,,,,,2.412,2.6595,false,2025/01/2025-01-23-00:08.pdf
2025-01-23,,,,,,,2.407,2.6555,false,2025/01/2025-01-24-00:08.pdf
2025-01-24,,,,,,,2.425,2.6745,false,2025/01/2025-01-25-00:07.pdf
2025-01-27,,,,,,,2.425,2.674,false,2025/01/2025-01-27-12:03.pdf
2025-01-28,,,,,,,2.414,2.662,false,2025/01/2025-01-29-00:08.pdf
2025-01-29,,,,,,,2.43,2.6795,false,2025/01/2025-01-30-00:08.pdf
2025-01-30,,,,,,,2.425,2.6745,false,2025/01/2025-01-31-00:08.pdf
2025-01-31,,,,,,,2.437,2.6885,false,2025/02/2025-02-01-00:08.pdf
2025-02-01,,,,,,,2.426,2.6755,false,2025/02/2025-02-02-00:08.pdf
2025-02-03,,,,,,,2.418,2.666,false,2025/02/2025-02-04-00:08.pdf
2025-02-04,,,,,,,2.433,2.6825,false,2025/02/2025-02-05-00:08.pdf
2025-02-05,,,,,,,2.46,2.7135,false,2025/02/2025-02-06-00:08.pdf
2025-02-06,,,,,,,2.459,2.712,false,2025/02/2025-02-07-00:08.pdf
2025-02-07,,,,,,,2.458,2.71,false,2025/02/2025-02-08-00:08.pdf
2025-02-10,,,,,,,2.449,2.7,false,2025/02/2025-02-11-00:08.pdf
2025-02-11,,,,,,,2.41,2.657,false,2025/02/2025-02-12-00:08.pdf
2025-02-12,,,,,,,2.405,2.6525,false,2025/02/2025-02-13-00:08.pdf
2025-02-13,,,,,,,2.422,2.671,false,2025/02/2025-02-14-00:08.pdf
2025-02-15,,,,,,,2.435,2.686,false,2025/02/2025-02-15-12:02.pdf
2025-02-17,,,,,,,2.435,2.6855,false,2025/02/2025-02-18-00:08.pdf
2025-02-18,,,,,,,2.438,2.69,false,2025/02/2025-02-19-00:08.pdf
2025-02-20,,,,,,,2.442,2.6925,false,2025/02/2025-02-21-00:08.pdf
2025-02-21,,,,,,,2.44,2.691,false,2025/02/2025-02-22-00:08.pdf
2025-02-24,,,,,,,2.451,2.703,false,2025/02/2025-02-25-00:08.pdf
2025-02-25,,,,,,,2.449,2.7015,false,2025/02/2025-02-26-00:08.pdf
2025-02-27,,,,,,,2.441,2.6915,false,2025/02/2025-02-27-12:03.pdf
2025-02-28,,,,,,,2.423,2.6725,false,2025/03/2025-03-01-00:09.pdf
2025-03-01,,,,,,,2.417,2.668,false,2025/03/2025-03-02-00:09.pdf
2025-03-03,,,,,,,2.414,2.6625,false,2025/03/2025-03-04-00:08.pdf
2025-03-04,,,,,,,2.445,2.6965,false,2025/03/2025-03-05-00:08.pdf
2025-03-05,,,,,,,2.452,2.705,false,2025/03/2025-03-06-00:08.pdf
2025-03-06,,,,,,,2.452,2.7035,false,2025/03/2025-03-07-00:08.pdf
2025-03-07,,,,,,,2.447,2.699,false,2025/03/2025-03-08-00:06.pdf
2025-03-10,,,,,,,2.446,2.697,false,2025/03/2025-03-11-00:08.pdf
2025-03-11,,,,,,,2.441,2.6915,false,2025/03/2025-03-12-00:08.pdf
2025-03-12,,,,,,,2.445,2.6955,false,2025/03/2025-03-13-00:08.pdf
2025-03-13,,,,,,,2.442,2.692,false,2025/03/2025-03-14-00:08.pdf
2025-03-15,,,,,,,2.453,2.7055,false,2025/03/2025-03-16-00:09.pdf
2025-03-17,,,,,,,2.443,2.6945,false,2025/03/2025-03-18-00:08.pdf
2025-03-18,,,,,,,2.436,2.6865,false,2025/03/2025-03-19-00:08.pdf
2025-03-19,,,,,,,2.438,2.6885,false,2025/03/2025-03-20-00:08.pdf
2025-03-20,,,,,,,2.429,2.679,false,2025/03/2025-03-21-00:08.pdf
2025-03-21,,,,,,,2.404,2.6525,false,2025/03/2025-03-22-00:08.pdf
2025-03-24,,,,,,,2.391,2.638,false,2025/03/2025-03-25-00:08.pdf
2025-03-25,,,,,,,2.386,2.6325,false,2025/03/2025-03-26-00:08.pdf
2025-03-26,,,,,,,2.389,2.635,false,2025/03/2025-03-27-00:08.pdf
2025-03-27,,,,,,,2.395,2.6415,false,2025/03/2025-03-28-00:08.pdf
2025-03-28,,,,,,,2.383,2.6285,false,2025/03/2025-03-29-00:08.pdf
2025-03-29,,,,,,,2.384,2.632,false,2025/03/2025-03-30-00:09.pdf
2025-04-02,,,,,,,2.375,2.619,false,2025/04/2025-04-03-00:08.pdf
2025-04-03,,,,,,,2.36,2.604,false,2025/04/2025-04-04-00:09.pdf
2025-04-04,,,,,,,2.358,2.601,false,2025/04/2025-04-05-00:08.pdf
2025-04-05,,,,,,,2.352,2.595,false,2025/04/2025-04-06-12:02.pdf
2025-04-07,,,,,,,2.342,2.583,false,2025/04/2025-04-08-00:08.pdf
2025-04-08,,,,,,,2.341,2.5825,false,2025/04/2025-04-09-00:08.pdf
2025-04-09,,,,,,,2.356,2.6005,false,2025/04/2025-04-10-00:08.pdf
2025-04-11,,,,,,,2.417,2.6665,false,2025/04/2025-04-13-00:33.pdf
2025-04-15,,,,,,,2.42,2.6695,false,2025/04/2025-04-16-00:09.pdf
2025-04-16,,,,,,,2.43,2.6815,false,2025/04/2025-04-17-00:09.pdf
2025-04-17,,,,,,,2.436,2.687,false,2025/04/2025-04-18-00:09.pdf
2025-04-19,,,,,,,2.421,2.6765,false,2025/04/2025-04-20-00:09.pdf
2025-04-21,,,,,,,2.43,2.6805,false,2025/04/2025-04-22-00:09.pdf
2025-04-22,,,,,,,2.433,2.683,false,2025/04/2025-04-23-00:09.pdf
2025-04-23,,,,,,,2.41,2.6585,false,2025/04/2025-04-24-00:09.pdf
2025-04-24,,,,,,,2.413,2.6615,false,2025/04/2025-04-25-00:09.pdf
2025-04-25,,,,,,,2.419,2.668,false,2025/04/2025-04-26-00:09.pdf
2025-04-28,,,,,,,2.391,2.6375,false,2025/04/2025-04-29-00:09.pdf
2025-04-29,,,,,,,2.417,2.666,false,2025/04/2025-04-30-00:09.pdf
2025-04-30,,,,,,,2.399,2.647,false,2025/05/2025-05-01-00:10.pdf
2025-05-02,,,,,,,2.389,2.635,false,2025/05/2025-05-03-00:09.pdf
2025-05-03,,,,,,,2.416,2.668,false,2025/05/2025-05-04-00:10.pdf
2025-05-05,,,,,,,2.415,2.665,false,2025/05/2025-05-06-00:09.pdf
2025-05-07,,,,,,,2.443,2.696,false,2025/05/2025-05-08-00:09.pdf
2025-05-08,,,,,,,2.456,2.7095,false,2025/05/2025-05-09-00:09.pdf
2025-05-09,,,,,,,2.45,2.7025,false,2025/05/2025-05-10-00:09.pdf
2025-05-13,,,,,,,2.433,2.684,false,2025/05/2025-05-14-00:09.pdf
2025-05-14,,,,,,,2.431,2.682,false,2025/05/2025-05-15-00:08.pdf
2025-05-15,,,,,,,2.421,2.672,false,2025/05/2025-05-16-00:09.pdf
2025-05-16,,,,,,,2.439,2.6915,false,2025/05/2025-05-17-00:09.pdf
2025-05-17,,,,,,,2.425,2.6785,false,2025/05/2025-05-18-00:10.pdf
2025-05-19,,,,,,,2.446,2.6985,false,2025/05/2025-05-20-00:09.pdf
2025-05-20,,,,,,,2.438,2.6905,false,2025/05/2025-05-21-00:09.pdf
2025-05-21,,,,,,,2.472,2.727,false,2025/05/2025-05-22-00:09.pdf
2025-05-23,,,,,,,2.48,2.7355,false,2025/05/2025-05-23-00:09.pdf
2025-05-27,,,,,,,2.469,2.7235,false,2025/05/2025-05-27-12:04.pdf
2025-05-28,,,,,,,2.476,2.731,false,2025/05/2025-05-29-00:09.pdf
2025-05-29,,,,,,,2.464,2.7175,false,2025/05/2025-05-30-00:09.pdf
2025-05-30,,,,,,,2.472,2.7265,false,2025/05/2025-05-31-00:09.pdf
2025-05-31,,,,,,,2.467,2.7215,false,2025/06/2025-06-01-00:11.pdf
2025-06-02,,,,,,,2.48,2.736,false,2025/06/2025-06-03-00:09.pdf
2025-06-03,,,,,,,2.48,2.735,false,2025/06/2025-06-04-00:09.pdf
2025-06-04,,,,,,,2.485,2.741,false,2025/06/2025-06-05-00:09.pdf
2025-06-05,,,,,,,2.496,2.753,false,2025/06/2025-06-06-00:09.pdf
2025-06-06,,,,,,,2.493,2.75,false,2025/06/2025-06-07-00:09.pdf
2025-06-09,,,,,,,2.475,2.73,false,2025/06/2025-06-10-00:09.pdf
2025-06-10,,,,,,,2.478,2.7325,false,2025/06/2025-06-11-00:09.pdf
2025-06-11,,,,,,,2.479,2.734,false,2025/06/2025-06-12-00:09.pdf
2025-06-12,,,,,,,2.494,2.751,false,2025/06/2025-06-13-00:10.pdf
2025-06-13,,,,,,,2.51,2.768,false,2025/06/2025-06-14-00:09.pdf
2025-06-16,,,,,,,2.507,2.7655,false,2025/06/2025-06-17-00:09.pdf
2025-06-17,2.58,2.71,2.58,2.72,,,2.504,2.761,false,2025/06/2025-06-18-00:09.pdf
2025-06-18,2.58,2.72,2.58,2.73,,,2.508,2.7655,false,2025/06/2025-06-19-00:09.pdf
2025-06-19,2.58,2.71,2.57,2.71,,,2.498,2.7555,false,2025/06/2025-06-20-00:09.pdf
2025-06-20,2.58,2.71,2.57,2.71,,,2.499,2.757,false,2025/06/2025-06-21-00:09.pdf
2025-06-21,2.57,2.71,2.57,2.71,,,2.495,2.755,false,2025/06/2025-06-22-00:10.pdf
2025-06-23,2.56,2.7,2.56,2.7,,,2.487,2.7425,false,2025/06/2025-06-23-12:03.pdf
2025-06-24,2.57,2.7,2.57,2.71,,,2.491,2.747,false,2025/06/2025-06-25-00:09.pdf
2025-06-25,2.57,2.71,2.57,2.71,,,2.497,2.754,false,2025/06/2025-06-26-00:09.pdf
2025-06-26,2.58,2.72,2.58,2.72,,,2.506,2.7645,false,2025/06/2025-06-27-00:10.pdf
2025-06-27,2.56,2.7,2.56,2.7,,,2.489,2.7445,false,2025/06/2025-06-28-00:09.pdf
2025-06-30,2.56,2.69,2.56,2.7,,,2.484,2.7395,false,2025/07/2025-07-01-00:11.pdf
2025-07-01,2.57,2.71,2.57,2.72,,,2.493,2.7505,false,2025/07/2025-07-02-00:09.pdf
2025-07-02,2.57,2.71,2.57,2.71,,,2.499,2.7555,false,2025/07/2025-07-03-00:09.pdf
2025-07-03,2.57,2.71,2.57,2.71,,,2.497,2.755,false,2025/07/2025-07-04-00:09.pdf
2025-07-04,2.57,2.7,2.57,2.71,,,2.493,2.749,false,2025/07/2025-07-05-00:09.pdf
2025-07-05,2.57,2.72,2.57,2.72,,,2.503,2.761,false,2025/07/2025-07-06-01:09.pdf
2025-07-07,2.57,2.7,2.56,2.71,,,2.493,2.749,false,2025/07/2025-07-08-01:03.pdf
2025-07-08,2.57,2.71,2.57,2.71,,,2.498,2.7545,false,2025/07/2025-07-09-01:04.pdf
2025-07-09,2.56,2.7,2.56,2.7,,,2.486,2.7425,false,2025/07/2025-07-10-01:04.pdf
2025-07-10,2.56,2.69,2.56,2.7,,,2.483,2.74,false,2025/07/2025-07-11-01:05.pdf
2025-07-11,2.57,2.7,2.57,2.71,,,2.495,2.7515,false,2025/07/2025-07-12-01:06.pdf
2025-07-14,2.59,2.72,2.59,2.73,,,2.511,2.769,false,2025/07/2025-07-15-01:07.pdf
2025-07-15,2.58,2.71,2.58,2.72,,,2.501,2.7585,false,2025/07/2025-07-16-01:06.pdf
2025-07-16,2.58,2.71,2.58,2.72,,,2.502,2.7605,false,2025/07/2025-07-17-01:06.pdf
