date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2021-01-06,,,9.65,10.18,,,,,true,2021/01/2021-01-06-14:15.pdf
2021-01-07,,,9.74,10.28,,,,,true,2021/01/2021-01-07-14:15.pdf
2021-01-08,,,9.75,10.29,,,,,true,2021/01/2021-01-08-14:15.pdf
2021-01-11,,,9.68,10.21,,,,,true,2021/01/2021-01-11-14:15.pdf
2021-01-12,,,9.55,10.08,,,,,true,2021/01/2021-01-12-14:15.pdf
2021-01-13,,,9.56,10.08,,,,,true,2021/01/2021-01-13-14:15.pdf
2021-01-14,,,9.62,10.15,,,,,true,2021/01/2021-01-14-14:15.pdf
2021-01-15,,,9.65,10.19,,,,,true,2021/01/2021-01-15-14:15.pdf
2021-01-16,,,9.52,10.04,,,,,true,2021/01/2021-01-16-14:15.pdf
2021-01-18,,,9.54,10.07,,,,,true,2021/01/2021-01-18-14:15.pdf
2021-01-19,,,9.54,10.06,,,,,true,2021/01/2021-01-19-14:15.pdf
2021-02-06,,,10.05,10.61,,,,,true,2021/02/2021-02-07-14:15.pdf
2021-02-10,,,10.04,10.60,,,,,true,2021/02/2021-02-10-14:15.pdf
2021-02-17,,,10.15,10.71,,,,,true,2021/02/2021-02-17-14:15.pdf
2021-02-18,,,10.16,10.72,,,,,true,2021/02/2021-02-18-14:15.pdf
2021-02-22,,,10.08,10.64,,,,,true,2021/02/2021-02-22-14:15.pdf
2021-02-23,,,10.04,10.60,,,,,true,2021/02/2021-02-23-14:15.pdf
2021-02-24,,,9.93,10.48,,,,,true,2021/02/2021-02-24-14:15.pdf
2021-02-25,,,9.83,10.37,,,,,true,2021/02/2021-02-25-14:15.pdf
2021-02-26,,,9.60,10.13,,,,,true,2021/02/2021-02-26-14:15.pdf
2021-11-24,,,5.70,6.00,,,,,true,2021/11/2021-11-25-21:09.pdf
2021-11-26,,,5.97,6.29,,,,,true,2021/11/2021-11-26-14:15.pdf
2021-11-29,,,5.90,6.22,,,,,true,2021/11/2021-11-29-14:15.pdf
2021-12-01,,,5.39,5.68,,,,,true,2021/12/2021-12-01-14:15.pdf
2021-12-03,,,5.31,5.60,,,,,true,2021/12/2021-12-03-14:15.pdf
2021-12-04,,,5.35,5.64,,,,,true,2021/12/2021-12-04-14:15.pdf
2021-12-06,,,5.35,5.64,,,,,true,2021/12/2021-12-06-14:15.pdf
2021-12-07,,,5.31,5.60,,,,,true,2021/12/2021-12-07-14:15.pdf
2021-12-08,,,5.40,5.70,,,,,true,2021/12/2021-12-08-14:15.pdf
2021-12-09,,,5.38,5.68,,,,,true,2021/12/2021-12-09-14:15.pdf
2021-12-10,,,5.34,5.63,,,,,true,2021/12/2021-12-10-14:15.pdf
2021-12-14,,,5.33,5.63,,,,,true,2021/12/2021-12-14-14:15.pdf
2021-12-16,,,5.01,5.29,,,,,true,2021/12/2021-12-16-14:15.pdf
2021-12-17,,,4.74,5.00,,,,,true,2021/12/2021-12-17-14:15.pdf
2021-12-18,,,4.52,4.76,,,,,true,2021/12/2021-12-18-14:15.pdf
2021-12-20,,,4.42,4.68,,,,,true,2021/12/2021-12-20-14:15.pdf
2021-12-21,,,5.46,5.76,,,,,true,2021/12/2021-12-21-14:15.pdf
2021-12-22,,,5.93,6.25,,,,,true,2021/12/2021-12-22-14:15.pdf
2021-12-23,,,6.09,6.44,,,,,true,2021/12/2021-12-23-14:15.pdf
2021-12-24,,,6.21,6.83,,,,,true,2021/12/2021-12-24-14:15.pdf
2021-12-29,,,6.12,6.47,,,,,true,2021/12/2021-12-29-14:15.pdf
2021-12-30,,,5.68,6.02,,,,,true,2021/12/2021-12-30-14:15.pdf
2021-12-31,,,5.47,5.77,,,,,true,2021/12/2021-12-31-14:15.pdf
