date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-01-01,85.22,86.07,85.15,86.24,85.15,86.24,84.15,86.55,false,2025/01/2025-01-02-00:08.pdf
2025-01-02,85.30,86.15,85.23,86.32,85.23,86.32,84.25,86.6,false,2025/01/2025-01-03-00:08.pdf
2025-01-04,85.35,86.2,85.28,86.37,85.28,86.37,84.3,86.65,false,2025/01/2025-01-04-12:03.pdf
2025-01-06,85.38,86.23,85.31,86.4,85.31,86.4,84.3,86.7,false,2025/01/2025-01-07-00:09.pdf
2025-01-07,85.39,86.24,85.32,86.41,85.32,86.41,84.3,86.7,false,2025/01/2025-01-08-00:08.pdf
2025-01-08,85.4,86.25,85.33,86.42,85.33,86.42,84.35,86.7,false,2025/01/2025-01-09-00:08.pdf
2025-01-09,85.52,86.37,85.45,86.54,85.45,86.54,84.45,86.85,false,2025/01/2025-01-10-00:08.pdf
2025-01-10,85.48,86.33,85.41,86.5,85.41,86.5,84.4,86.8,false,2025/01/2025-01-11-12:03.pdf
2025-01-14,86.25,87.1,86.18,87.27,86.18,87.27,85.15,87.6,false,2025/01/2025-01-14-12:03.pdf
2025-01-15,85.95,86.8,85.88,86.97,85.88,86.97,84.9,87.3,false,2025/01/2025-01-16-00:08.pdf
2025-01-16,86,86.85,85.93,87.02,85.93,87.02,84.9,87.35,false,2025/01/2025-01-17-00:08.pdf
2025-01-17,86.2,87.05,86.13,87.22,86.13,87.22,85.1,87.55,false,2025/01/2025-01-18-00:07.pdf
2025-01-18,86.2,87.05,86.13,87.22,86.13,87.22,85.1,87.55,false,2025/01/2025-01-19-00:08.pdf
2025-01-21,86.1,86.95,86.03,87.12,86.03,87.12,85,87.45,false,2025/01/2025-01-21-12:03.pdf
2025-01-22,86,86.85,85.93,87.02,85.93,87.02,84.9,87.35,false,2025/01/2025-01-23-00:08.pdf
2025-01-23,86.05,86.9,85.98,87.07,85.98,87.07,84.95,87.4,false,2025/01/2025-01-24-00:08.pdf
2025-01-24,85.8,86.65,85.73,86.82,85.73,86.82,84.75,87.15,false,2025/01/2025-01-25-00:07.pdf
2025-01-27,85.95,86.8,85.88,86.97,85.88,86.97,84.9,87.3,false,2025/01/2025-01-27-12:03.pdf
2025-01-28,86.1,86.95,86.03,87.12,86.03,87.12,85,87.45,false,2025/01/2025-01-29-00:08.pdf
2025-01-29,86.2,87.05,86.13,87.22,86.13,87.22,85.1,87.55,false,2025/01/2025-01-30-00:08.pdf
2025-01-30,86.15,87,86.08,87.17,86.08,87.17,85.05,87.5,false,2025/01/2025-01-31-00:08.pdf
2025-01-31,86.2,87.05,86.13,87.22,86.13,87.22,85.1,87.55,false,2025/02/2025-02-01-00:08.pdf
2025-02-01,86.2,87.05,86.13,87.22,86.13,87.22,85.1,87.55,false,2025/02/2025-02-02-00:08.pdf
2025-02-03,86.8,87.65,86.73,87.82,86.73,87.82,85.7,88.15,false,2025/02/2025-02-04-00:08.pdf
2025-02-04,86.6,87.45,86.53,87.62,86.53,87.62,85.5,87.95,false,2025/02/2025-02-05-00:08.pdf
2025-02-05,87,87.85,86.93,88.02,86.93,88.02,85.9,88.35,false,2025/02/2025-02-06-00:08.pdf
2025-02-06,87.1,87.95,87.03,88.12,87.03,88.12,86,88.45,false,2025/02/2025-02-07-00:08.pdf
2025-02-07,87.05,87.9,86.98,88.07,86.98,88.07,85.95,88.4,false,2025/02/2025-02-08-00:08.pdf
2025-02-10,87.1,87.95,87.03,88.12,87.03,88.12,86,88.45,false,2025/02/2025-02-11-00:08.pdf
2025-02-11,86.35,87.2,86.28,87.37,86.28,87.37,85.25,87.7,false,2025/02/2025-02-12-00:08.pdf
2025-02-12,86.3,87.15,86.23,87.32,86.23,87.32,85.2,87.65,false,2025/02/2025-02-13-00:08.pdf
2025-02-13,86.4,87.25,86.33,87.42,86.33,87.42,85.3,87.75,false,2025/02/2025-02-14-00:08.pdf
2025-02-15,86.3,87.15,86.23,87.32,86.23,87.32,85.2,87.65,false,2025/02/2025-02-15-12:02.pdf
2025-02-17,86.28,87.13,86.21,87.3,86.21,87.3,85.2,87.6,false,2025/02/2025-02-18-00:08.pdf
2025-02-18,86.5,87.35,86.43,87.52,86.43,87.52,85.4,87.85,false,2025/02/2025-02-19-00:08.pdf
2025-02-20,86.25,87.1,86.18,87.27,86.18,87.27,85.15,87.6,false,2025/02/2025-02-21-00:08.pdf
2025-02-21,86.3,87.15,86.23,87.32,86.23,87.32,85.2,87.65,false,2025/02/2025-02-22-00:08.pdf
2025-02-24,86.2,87.05,86.13,87.22,86.13,87.22,85.1,87.55,false,2025/02/2025-02-25-00:08.pdf
2025-02-25,86.7,87.55,86.63,87.72,86.63,87.72,85.6,88.05,false,2025/02/2025-02-26-00:08.pdf
2025-02-27,86.85,87.7,86.78,87.87,86.78,87.87,85.75,88.2,false,2025/02/2025-02-27-12:03.pdf
2025-02-28,86.95,87.8,86.88,87.97,86.88,87.97,85.85,88.3,false,2025/03/2025-03-01-00:09.pdf
2025-03-01,87.1,87.95,87.03,88.12,87.03,88.12,86,88.45,false,2025/03/2025-03-02-00:09.pdf
2025-03-03,86.95,87.8,86.88,87.97,86.88,87.97,85.85,88.3,false,2025/03/2025-03-04-00:08.pdf
2025-03-04,86.95,87.8,86.88,87.97,86.88,87.97,85.85,88.3,false,2025/03/2025-03-05-00:08.pdf
2025-03-05,86.65,87.5,86.58,87.67,86.58,87.67,85.55,88,false,2025/03/2025-03-06-00:08.pdf
2025-03-06,86.7,87.55,86.63,87.72,86.63,87.72,85.6,88.05,false,2025/03/2025-03-07-00:08.pdf
2025-03-07,86.5,87.35,86.43,87.52,86.43,87.52,85.4,87.85,false,2025/03/2025-03-08-00:06.pdf
2025-03-10,86.87,87.72,86.8,87.89,86.8,87.89,85.8,88.2,false,2025/03/2025-03-11-00:08.pdf
2025-03-11,86.98,87.83,86.91,88,86.91,88,85.9,88.3,false,2025/03/2025-03-12-00:08.pdf
2025-03-12,86.85,87.7,86.78,87.87,86.78,87.87,85.75,88.2,false,2025/03/2025-03-13-00:08.pdf
2025-03-13,86.75,87.6,86.68,87.77,86.68,87.77,85.65,88.1,false,2025/03/2025-03-14-00:08.pdf
2025-03-15,86.55,87.4,86.48,87.57,86.48,87.57,85.45,87.9,false,2025/03/2025-03-16-00:09.pdf
2025-03-17,86.5,87.35,86.43,87.52,86.43,87.52,85.4,87.85,false,2025/03/2025-03-18-00:08.pdf
2025-03-18,86.15,87,86.08,87.17,86.08,87.17,85.05,87.5,false,2025/03/2025-03-19-00:08.pdf
2025-03-19,86.25,87.1,86.18,87.27,86.18,87.27,85.15,87.6,false,2025/03/2025-03-20-00:08.pdf
2025-03-20,85.8,86.65,85.73,86.82,85.73,86.82,84.75,87.15,false,2025/03/2025-03-21-00:08.pdf
