date,tt_buying,tt_selling,bill_buying,bill_selling,card_buying,card_selling,cn_buying,cn_selling,publication_only,source_file
2025-01-01,4.42,4.65,4.42,4.66,,,4.25,4.75,false,2025/01/2025-01-02-00:08.pdf
2025-01-02,4.44,4.67,4.44,4.68,,,4.25,4.8,false,2025/01/2025-01-03-00:08.pdf
2025-01-04,4.47,4.7,4.46,4.71,,,4.3,4.8,false,2025/01/2025-01-04-12:03.pdf
2025-01-06,4.46,4.69,4.46,4.7,,,4.3,4.8,false,2025/01/2025-01-07-00:09.pdf
2025-01-07,4.5,4.74,4.5,4.74,,,4.3,4.85,false,2025/01/2025-01-08-00:08.pdf
2025-01-08,4.47,4.7,4.46,4.71,,,4.3,4.8,false,2025/01/2025-01-09-00:08.pdf
2025-01-09,4.43,4.66,4.43,4.67,,,4.25,4.8,false,2025/01/2025-01-10-00:08.pdf
2025-01-10,4.42,4.66,4.42,4.66,,,4.25,4.8,false,2025/01/2025-01-11-12:03.pdf
2025-01-14,4.46,4.69,4.46,4.7,,,4.3,4.8,false,2025/01/2025-01-14-12:03.pdf
2025-01-15,4.46,4.69,4.46,4.7,,,4.3,4.8,false,2025/01/2025-01-16-00:08.pdf
2025-01-16,4.48,4.72,4.48,4.73,,,4.3,4.85,false,2025/01/2025-01-17-00:08.pdf
2025-01-17,4.49,4.73,4.49,4.74,,,4.3,4.85,false,2025/01/2025-01-18-00:07.pdf
2025-01-18,4.51,4.74,4.5,4.75,,,4.35,4.85,false,2025/01/2025-01-19-00:08.pdf
2025-01-21,4.53,4.77,4.53,4.78,,,4.35,4.9,false,2025/01/2025-01-21-12:03.pdf
2025-01-22,4.56,4.79,4.55,4.8,,,4.4,4.9,false,2025/01/2025-01-23-00:08.pdf
2025-01-23,4.56,4.8,4.55,4.81,,,4.4,4.9,false,2025/01/2025-01-24-00:08.pdf
2025-01-24,4.59,4.82,4.58,4.83,,,4.4,4.95,false,2025/01/2025-01-25-00:07.pdf
2025-01-27,4.55,4.79,4.55,4.8,,,4.35,4.9,false,2025/01/2025-01-27-12:03.pdf
2025-01-28,4.48,4.71,4.48,4.72,,,4.3,4.85,false,2025/01/2025-01-29-00:08.pdf
2025-01-29,4.52,4.76,4.52,4.77,,,4.35,4.9,false,2025/01/2025-01-30-00:08.pdf
